link,name,judge
http://codeforces.com/problemset/problem/791/A,Bear and Big Brother,Codeforces
http://codeforces.com/problemset/problem/680/A,Bear and Five Cards,Codeforces
http://codeforces.com/problemset/problem/750/A,New Year and Hurry,Codeforces
http://codeforces.com/problemset/problem/698/A,Vacations,Codeforces
http://codeforces.com/problemset/problem/750/B,New Year and North Pole,Codeforces
http://codeforces.com/problemset/problem/574/A,Bear and Elections,Codeforces
http://codeforces.com/problemset/problem/611/A,New Year and Days,Codeforces
http://codeforces.com/problemset/problem/699/A,Launch of Collider,Codeforces
http://codeforces.com/problemset/problem/573/A,Bear and Poker,Codeforces
http://codeforces.com/problemset/problem/680/B,Bear and Finding Criminals,Codeforces
http://codeforces.com/problemset/problem/699/B,One Bomb,Codeforces
http://codeforces.com/problemset/problem/639/B,Bear and Forgotten Tree 3,Codeforces
http://codeforces.com/problemset/problem/679/A,Bear and Prime 100,Codeforces
http://codeforces.com/problemset/problem/611/C,New Year and Domino,Codeforces
http://codeforces.com/problemset/problem/653/A,Bear and Three Balls,Codeforces
http://codeforces.com/problemset/problem/673/A,Bear and Game,Codeforces
http://codeforces.com/problemset/problem/771/B,Bear and Different Names,Codeforces
http://codeforces.com/problemset/problem/750/C,New Year and Rating,Codeforces
http://codeforces.com/problemset/problem/639/A,Bear and Displayed Friends,Codeforces
http://codeforces.com/problemset/problem/574/B,Bear and Three Musketeers,Codeforces
http://codeforces.com/problemset/problem/611/B,New Year and Old Property,Codeforces
http://codeforces.com/problemset/problem/771/A,Bear and Friendship Condition,Codeforces
http://codeforces.com/problemset/problem/698/B,Fix a Tree,Codeforces
http://codeforces.com/problemset/problem/658/A,Bear and Reverse Radewoosh,Codeforces
http://codeforces.com/problemset/problem/653/B,Bear and Compressing,Codeforces
http://codeforces.com/problemset/problem/628/C,Bear and String Distance,Codeforces
http://codeforces.com/problemset/problem/643/A,Bear and Colors,Codeforces
http://codeforces.com/problemset/problem/573/B,Bear and Blocks,Codeforces
http://codeforces.com/problemset/problem/750/D,New Year and Fireworks,Codeforces
http://codeforces.com/problemset/problem/673/B,Problems for Round,Codeforces
http://codeforces.com/problemset/problem/643/B,Bear and Two Paths,Codeforces
http://codeforces.com/problemset/problem/533/E,Correcting Mistakes,Codeforces
http://codeforces.com/problemset/problem/611/D,New Year and Ancient Prophecy,Codeforces
http://codeforces.com/problemset/problem/771/C,Bear and Tree Jumps,Codeforces
http://codeforces.com/problemset/problem/679/B,Bear and Tower of Cubes,Codeforces
http://codeforces.com/problemset/problem/725/D,Contest Balloons,Codeforces
http://codeforces.com/problemset/problem/533/C,Board Game,Codeforces
http://codeforces.com/problemset/problem/653/D,Delivery Bears,Codeforces
http://codeforces.com/problemset/problem/639/C,Bear and Polynomials,Codeforces
http://codeforces.com/problemset/problem/533/B,Work Group,Codeforces
http://codeforces.com/problemset/problem/653/C,Bear and Up-Down,Codeforces
http://codeforces.com/problemset/problem/679/C,Bear and Square Grid,Codeforces
http://codeforces.com/problemset/problem/611/E,New Year and Three Musketeers,Codeforces
http://codeforces.com/problemset/problem/573/C,Bear and Drawing,Codeforces
http://codeforces.com/problemset/problem/653/E,Bear and Forgotten Tree 2,Codeforces
http://codeforces.com/problemset/problem/698/C,LRU,Codeforces
http://codeforces.com/problemset/problem/750/E,New Year and Old Subsequence,Codeforces
http://codeforces.com/problemset/problem/639/D,Bear and Contribution,Codeforces
http://codeforces.com/problemset/problem/533/F,Encoding,Codeforces
http://codeforces.com/problemset/problem/771/D,Bear and Company,Codeforces
http://codeforces.com/problemset/problem/643/C,Levels and Regions,Codeforces
http://codeforces.com/problemset/problem/660/F,Bear and Bowling 4,Codeforces
http://codeforces.com/problemset/problem/653/F,Paper task,Codeforces
http://codeforces.com/problemset/problem/611/F,New Year and Cleaning,Codeforces
http://codeforces.com/problemset/problem/639/E,Bear and Paradox,Codeforces
http://codeforces.com/problemset/problem/643/E,Bear and Destroying Subtrees,Codeforces
http://codeforces.com/problemset/problem/679/D,Bear and Chase,Codeforces
http://codeforces.com/problemset/problem/679/E,Bear and Bad Powers of 42,Codeforces
http://codeforces.com/problemset/problem/628/F,Bear and Fair Set,Codeforces
http://codeforces.com/problemset/problem/653/G,Move by Prime,Codeforces
http://codeforces.com/problemset/problem/750/F,New Year and Finding Roots,Codeforces
http://codeforces.com/problemset/problem/573/D,Bear and Cavalry,Codeforces
http://codeforces.com/problemset/problem/698/D,Limak and Shooting Points,Codeforces
http://codeforces.com/problemset/problem/639/F,Bear and Chemistry,Codeforces
http://codeforces.com/problemset/problem/611/H,New Year  and Forgotten Tree,Codeforces
http://codeforces.com/problemset/problem/750/G,New Year and Binary Tree Paths,Codeforces
http://codeforces.com/problemset/problem/698/F,Coprime Permutation,Codeforces
http://codeforces.com/problemset/problem/643/F,Bears and Juice,Codeforces
http://codeforces.com/problemset/problem/771/F,Bear and Isomorphic Points,Codeforces
http://codeforces.com/problemset/problem/750/H,New Year and Snowy Grid,Codeforces
http://codeforces.com/problemset/problem/643/D,Bearish Fanpages,Codeforces
http://codeforces.com/problemset/problem/611/G,New Year and Cake,Codeforces
http://codeforces.com/problemset/problem/533/D,Landmarks,Codeforces
http://codeforces.com/problemset/problem/771/E,Bear and Rectangle Strips,Codeforces
http://codeforces.com/problemset/problem/573/E,Bear and Bowling,Codeforces
http://codeforces.com/problemset/problem/698/E,Cron,Codeforces
http://codeforces.com/problemset/problem/643/G,Choosing Ads,Codeforces
http://codeforces.com/problemset/problem/533/A,Berland Miners,Codeforces
