link,name,judge
http://www.spoj.com/problems/BUGLIFE/,A Bug&#8217;s Life,SPOJ
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=3914,Piece it together,Live Archive
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=4285,Idol,Live Archive
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1260,Manhattan,UVA
http://www.spoj.com/problems/TORNJEVI/,TORNJEVI,SPOJ
http://codeforces.com/problemset/problem/776/D,The Door Problem,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2269,Wedding,UVA
http://codeforces.com/problemset/problem/468/B,Two Sets,Codeforces
http://codeforces.com/problemset/problem/193/A,Cutting Figure,Codeforces
http://br.spoj.com/problems/CARDAPIO/,Cardápio da Sra Montagny,SPOJ Brazil
http://codeforces.com/problemset/problem/27/D,Ring Road 2,Codeforces
http://codeforces.com/problemset/problem/228/E,The Road to Berland is Paved With Good Intentions,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3527,The Ministers' Major Mess,UVA
http://acm.timus.ru/problem.aspx?space=1&num=1382,Game with Cards,Timus
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3081,Rectangles,UVA
http://acm.timus.ru/problem.aspx?space=1&num=1485,Football and Lie,Timus
http://codeforces.com/problemset/problem/568/C,New Language,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3425,Palindromic DNA,UVA
http://codeforces.com/problemset/problem/538/H,Summer Dichotomy,Codeforces
http://codeforces.com/problemset/problem/587/D,Duff in Mafia,Codeforces
http://www.spoj.com/problems/SUPSUP/,Supplying the Suppliers,SPOJ
