link,name,judge
http://codeforces.com/problemset/problem/492/B,Vanya and Lanterns,Codeforces
http://codeforces.com/problemset/problem/492/A,Vanya and Cubes,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=69,The Dole Queue,UVA
http://codeforces.com/problemset/problem/492/C,Vanya and Exams,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=4447,Falling Ants,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=4454,GCD XOR,UVA
http://codeforces.com/problemset/problem/493/C,Vasya and Basketball,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=4456,Dromicpalin Substrings,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=4450,Pattern Locker,UVA
http://codeforces.com/problemset/problem/492/D,Vanya and Computer Game,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3634,Radar Installation,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=4452,Two Points Revisited,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3625,Air Raid,UVA
http://codeforces.com/problemset/problem/492/E,Vanya and Field,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=4453,Watching the Kangaroo,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=4455,Fiasco,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=4448,Game of MJ,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=4451,Pearl Chains,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=4449,Game of Throne,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=4457,Fill the Cuboid,UVA
