link,name,judge
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1985,Searching for Nessy,UVA
http://www.spoj.com/problems/HASHIT/,Hash it!,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=602,Blowing Fuses,UVA
http://codeforces.com/problemset/problem/834/A,The Useless Toy,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2493,Division of Nlogonia,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1361,List of Conquests,UVA
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=1997,Digit Counting,Live Archive
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1491,Combination Lock,UVA
http://www.spoj.com/problems/AE00/,Rectangles,SPOJ
http://www.codechef.com/problems/INTEST,Enormous Input Test,CodeChef
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1241,Ecological Premium,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1862,Find the Telephone,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1753,Beat the Spread!,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2899,Horror Dash,UVA
http://www.spoj.com/problems/RESN04/,STONE GAME ,SPOJ
http://www.spoj.com/problems/ABCD/,Colours A, B, C, D,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2315,Newspaper,UVA
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=1174,Wordfish,Live Archive
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=38,Ecological Bin Packing,UVA
http://www.spoj.com/problems/INTEST/,Enormous Input Test,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=440,What's The Frequency, Kenneth?,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=680,Soundex Indexing,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2827,Cost Cutting,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1644,Free spots,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2595,Event Planning,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=208,TEX Quotes,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1130,Minesweeper,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1082,Request for Proposal,UVA
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=190,Mobile Casanova,Live Archive
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=37,The Blocks Problem,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=514,The Snail,UVA
http://vn.spoj.com/problems/LINEGAME/,VOI09 Tr&#242; ch&#417;i v&#7899;i b?ng s&#7889;,SPOJ Vietnam
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=2787,Barcodes,Live Archive
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2954,Egypt,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2091,Cola,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1023,WERTYU,UVA
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=1013,All Integer Average,Live Archive
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=36,The 3n + 1 problem,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=4022,Hajj-e-Akbar,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=424,Word Scramble,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2542,Automatic Answer,UVA
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=2203,Schedule of a Married Man,Live Archive
http://codeforces.com/problemset/problem/146/A,Lucky Ticket,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=556,Is It A Tree?,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=50,Simulation Wizardry,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=882,Permutations,UVA
http://www.spoj.com/problems/CRAN01/,An Experiment by Penny,SPOJ
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=2201,Find the Format String,Live Archive
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=778,Light and Transparencies,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=330,Mapmaker,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1304,Tic Tac Toe,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2164,O: dah dah dah!,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=990,Self-describing Sequence,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2663,Roman Numerals,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1624,The decadary watch,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2900,Determine the Shape,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1469,Major Scales,UVA
http://codeforces.com/problemset/problem/631/C,Report,Codeforces
http://codeforces.com/problemset/problem/627/A,XOR Equation,Codeforces
http://www.spoj.com/problems/TWOBISOP/,TWO BISHOPS,SPOJ
http://www.spoj.com/problems/SOLVEIT/,SOLVEIT,SPOJ
http://codeforces.com/problemset/problem/626/D,Jerry's Protest,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3341,Dinner Hall,UVA
https://www.urionlinejudge.com.br/judge/en/problems/view/1684,Candy Marathon,URI
