link,name,judge
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1620,I Love Strings!!,UVA
http://www.spoj.com/problems/WPUZZLES/,Word Puzzles,SPOJ
http://www.spoj.com/problems/SUB_PROB/,Substring Problem,SPOJ
http://www.spoj.com/problems/EMOTICON/,Emoticons,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2463,Substring,UVA
http://acm.timus.ru/problem.aspx?space=1&num=1158,Censored!,Timus
http://codeforces.com/problemset/problem/346/B,Lucky Common Subsequence,Codeforces
http://acm.timus.ru/problem.aspx?space=1&num=1269,Obscene Words Filter,Timus
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=677,Lost in Space,UVA
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=4552,GRE Words Revenge,Live Archive
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3396,Growing Strings,UVA
http://acm.sgu.ru/problem.php?contest=0&problem=505,Prefixes and suffixes,SGU
http://codeforces.com/problemset/problem/963/D,Frequency of String,Codeforces
http://codeforces.com/problemset/problem/163/E,e-Government,Codeforces
http://codeforces.com/problemset/problem/585/F,Digits of Number Pi,Codeforces
http://codeforces.com/problemset/problem/587/F,Duff is Mad,Codeforces
