link,name,judge
http://www.spoj.com/problems/ORDERSET/,Order statistic set,SPOJ
http://poj.org/problem?id=1988,Cube Stacking,PKU
http://www.spoj.com/problems/KPMATRIX/,Matrix,SPOJ
http://www.spoj.com/problems/QMAX3VN/,Giá tr&#7883; l&#7899;n nh&#7845;t 3,SPOJ
http://www.spoj.com/problems/GSS6/,Can you answer these queries VI,SPOJ
http://www.spoj.com/problems/WEIRDFN/,Weird Function,SPOJ
http://acm.sgu.ru/problem.php?contest=0&problem=187,Twist and whirl -- want to cheat,SGU
http://www.codechef.com/problems/CARDSHUF,Card Shuffle,CodeChef
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3138,Almost Union-Find,UVA
http://www.spoj.com/problems/TEMPLEQ/,Temple Queues,SPOJ
http://www.codechef.com/problems/PALINDR,Lucy and Palindromes,CodeChef
http://www.spoj.com/problems/SEQ2/,Another Sequence Problem,SPOJ
http://www.spoj.com/problems/CERC07S/,Robotic Sort,SPOJ
http://www.codechef.com/problems/CHEFC,Chef and medium problem,CodeChef
http://www.spoj.com/problems/TREAP/,Yet another range difference query!,SPOJ
http://codeforces.com/problemset/problem/863/D,Yet Another Array Queries Problem,Codeforces
http://www.codechef.com/problems/GENETICS,Genetics,CodeChef
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=4225,Graph and Queries,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3141,``Dynamic'' Inversion,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3983,Version Controlled IDE,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=4148,Robotic Sort,UVA
http://codeforces.com/problemset/problem/566/D,Restructuring Company,Codeforces
http://www.spoj.com/problems/KL11B/,Arnook Defensive Line,SPOJ
http://www.spoj.com/problems/CNTINDX2/,Count The Indexes 2,SPOJ
http://www.spoj.com/problems/ASISTENT/,Asistent,SPOJ
http://codeforces.com/problemset/problem/809/D,Hitchhiking in the Baltic States,Codeforces
