link,name,judge
http://www.spoj.com/problems/EKO/,Eko,SPOJ
http://codeforces.com/problemset/problem/706/B,Interesting drink,Codeforces
http://www.spoj.com/problems/PIE/,Pie,SPOJ
http://codeforces.com/problemset/problem/600/B,Queries about less or equal elements,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2383,GCD LCM,UVA
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=2848,Binary Search Tree,Live Archive
http://www.spoj.com/problems/KOPC12A/,K12 - Building Construction,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1415,Where is the Marble?,UVA
http://www.spoj.com/problems/AGGRCOW/,Aggressive cows,SPOJ
http://poj.org/problem?id=1064,Cable master,PKU
http://codeforces.com/problemset/problem/466/C,Number of Ways,Codeforces
http://codeforces.com/problemset/problem/492/B,Vanya and Lanterns,Codeforces
http://codeforces.com/problemset/problem/580/B,Kefa and Company,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1552,The Playboy Chimp,UVA
http://www.spoj.com/problems/MAIN8_C/,Shake Shake Shaky,SPOJ
http://www.spoj.com/problems/SUMFOUR/,4 values whose sum is 0,SPOJ
http://codeforces.com/problemset/problem/445/A,DZY Loves Chessboard,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1282,Solve It,UVA
http://acm.tju.edu.cn/toj/showp2407.html,4 Values whose Sum is 0,TJU
http://poj.org/problem?id=3273,Monthly Expense,PKU
http://www.spoj.com/problems/RENT/,Rent your airplane and make money,SPOJ
http://www.spoj.com/problems/VENOM/,Touch of Venom,SPOJ
http://www.spoj.com/problems/NOTATRI/,Not a Triangle,SPOJ
http://www.spoj.com/problems/TETRA/,Sphere in a tetrahedron,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2126,Ternary,UVA
http://www.spoj.com/problems/CISTFILL/,Fill the Cisterns,SPOJ
http://poj.org/problem?id=3258,River Hopscotch,PKU
http://www.spoj.com/problems/SOLDIER/,Help the soldier,SPOJ
http://codeforces.com/problemset/problem/743/B,Chloe and the sequence ,Codeforces
http://www.spoj.com/problems/SUBS/,String it out,SPOJ
http://www.spoj.com/problems/PIR/,Pyramids,SPOJ
http://codeforces.com/problemset/problem/279/B,Books,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1730,Prime Frequency,UVA
http://www.spoj.com/problems/HAMSTER1/,Hamster flight,SPOJ
http://www.spoj.com/problems/BOOKS1/,Copying Books,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1998,Exact Sum,UVA
http://codeforces.com/problemset/problem/474/B,Worms,Codeforces
http://poj.org/problem?id=2456,Aggressive cows,PKU
http://www.spoj.com/problems/ABCDEF/,ABCDEF,SPOJ
http://codeforces.com/problemset/problem/538/C,Tourist's Notes,Codeforces
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=1936,ICPC Scoreboard,Live Archive
http://codeforces.com/problemset/problem/448/D,Multiplication Table,Codeforces
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=3137,Mummy Madness,Live Archive
http://codeforces.com/problemset/problem/348/A,Mafia,Codeforces
http://codeforces.com/problemset/problem/96/B,Lucky Numbers (easy),Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2408,Fill the Containers,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1507,Crossed Ladders,UVA
http://www.spoj.com/problems/BALLOT/,Distributing Ballot Boxes,SPOJ
http://www.spoj.com/problems/BST/,Binary Search Tree,SPOJ
http://poj.org/problem?id=3104,Drying,PKU
http://codeforces.com/problemset/problem/607/A,Chain Reaction,Codeforces
http://codeforces.com/problemset/problem/165/B,Burning Midnight Oil,Codeforces
http://codeforces.com/problemset/problem/812/C,Sagheer and Nubian Market,Codeforces
http://codeforces.com/problemset/problem/289/B,Polo the Penguin and Matrix,Codeforces
http://codeforces.com/problemset/problem/604/B,More Cowbell,Codeforces
http://poj.org/problem?id=3579,Median,PKU
http://codeforces.com/problemset/problem/816/B,Karen and Coffee,Codeforces
http://www.spoj.com/problems/SCALE/,Funny scales,SPOJ
http://codeforces.com/problemset/problem/165/C,Another Problem on Strings,Codeforces
http://codeforces.com/problemset/problem/676/C,Vasya and String,Codeforces
http://poj.org/problem?id=3111,K Best,PKU
http://codeforces.com/problemset/problem/371/C,Hamburgers,Codeforces
http://codeforces.com/problemset/problem/126/B,Password,Codeforces
http://codeforces.com/problemset/problem/778/A,String Game,Codeforces
http://codeforces.com/problemset/problem/785/C,Anton and Fairy Tale,Codeforces
http://codeforces.com/problemset/problem/166/A,Rank List,Codeforces
http://codeforces.com/problemset/problem/271/B,Prime Matrix,Codeforces
http://codeforces.com/problemset/problem/750/C,New Year and Rating,Codeforces
http://codeforces.com/problemset/problem/251/A,Points on Line,Codeforces
http://poj.org/problem?id=2010,Moo University - Financial Aid,PKU
http://codeforces.com/problemset/problem/567/C,Geometric Progression,Codeforces
http://www.spoj.com/problems/METEORS/,Meteors,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=655,Copying Books,UVA
http://poj.org/problem?id=2976,Dropping tests,PKU
