link,name,judge
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=399,The Decoder,UVA
http://www.spoj.com/problems/QTREE5/,Query on a tree V,SPOJ
http://www.codechef.com/problems/PRIMEDST,Prime Distance On Tree,CodeChef
http://codeforces.com/problemset/problem/161/D,Distance in Tree,Codeforces
http://www.spoj.com/problems/GOT/,Gao on a tree,SPOJ
http://codeforces.com/problemset/problem/342/E,Xenia and Tree,Codeforces
http://codeforces.com/problemset/problem/321/C,Ciel the Commander,Codeforces
http://www.codechef.com/problems/GERALD2,Black and White Tree,CodeChef
http://www.codechef.com/problems/TESTERS,Vacation,CodeChef
http://codeforces.com/problemset/problem/379/F,New Year Tree,Codeforces
http://www.codechef.com/problems/BTREE,Union on Tree,CodeChef
http://codeforces.com/problemset/problem/855/D,Rowena Ravenclaw's Diadem,Codeforces
http://codeforces.com/problemset/problem/860/E,Arkady and a Nobody-men,Codeforces
http://codeforces.com/problemset/problem/812/D,Sagheer and Kindergarten,Codeforces
