link,name,judge
http://codeforces.com/problemset/problem/166/E,Tetrahedron,Codeforces
http://codeforces.com/problemset/problem/506/D,Mr. Kitayuta's Colorful Graph,Codeforces
http://codeforces.com/problemset/problem/566/F,Clique in the Divisibility Graph,Codeforces
http://codeforces.com/problemset/problem/429/D,Tricky Function,Codeforces
http://codeforces.com/problemset/problem/375/D,Tree and Queries,Codeforces
http://codeforces.com/problemset/problem/438/D,The Child and Sequence,Codeforces
http://codeforces.com/problemset/problem/641/E,Little Artem and Time Machine,Codeforces
http://codeforces.com/problemset/problem/343/D,Water Tree,Codeforces
http://codeforces.com/problemset/problem/383/D,Antimatter,Codeforces
http://codeforces.com/problemset/problem/229/D,Towers,Codeforces
http://codeforces.com/problemset/problem/333/D,Characteristics of Rectangles,Codeforces
http://codeforces.com/problemset/problem/484/D,Kindergarten,Codeforces
http://codeforces.com/problemset/problem/301/D,Yaroslav and Divisors,Codeforces
http://codeforces.com/problemset/problem/449/D,Jzzhu and Numbers,Codeforces
http://codeforces.com/problemset/problem/543/D,Road Improvement,Codeforces
http://codeforces.com/problemset/problem/455/D,Serega and Fun,Codeforces
http://codeforces.com/problemset/problem/875/D,High Cry,Codeforces
http://codeforces.com/problemset/problem/403/D,Beautiful Pairs of Numbers,Codeforces
http://codeforces.com/problemset/problem/601/D,Acyclic Organic Compounds,Codeforces
http://codeforces.com/problemset/problem/691/F,Couple Cover,Codeforces
http://codeforces.com/problemset/problem/555/D,Case of a Top Secret,Codeforces
http://codeforces.com/problemset/problem/734/F,Anton and School,Codeforces
http://codeforces.com/problemset/problem/406/D,Hill Climbing,Codeforces
http://codeforces.com/problemset/problem/553/D,Nudist Beach,Codeforces
http://codeforces.com/problemset/problem/756/D,Bacterial Melee,Codeforces
http://codeforces.com/problemset/problem/317/D,Game with Powers,Codeforces
http://codeforces.com/problemset/problem/547/D,Mike and Fish,Codeforces
http://codeforces.com/problemset/problem/524/D,Social Network,Codeforces
http://codeforces.com/problemset/problem/590/D,Top Secret Task,Codeforces
http://codeforces.com/problemset/problem/341/D,Iahub and Xors,Codeforces
http://codeforces.com/problemset/problem/627/C,Package Delivery,Codeforces
http://codeforces.com/problemset/problem/780/F,Axel and Marston in Bitland,Codeforces
http://codeforces.com/problemset/problem/585/D,Lizard Era: Beginning,Codeforces
http://codeforces.com/problemset/problem/650/D,Zip-line,Codeforces
http://codeforces.com/problemset/problem/226/D,The table,Codeforces
http://codeforces.com/problemset/problem/274/D,Lovely Matrix,Codeforces
http://codeforces.com/problemset/problem/498/D,Traffic Jams in the Land,Codeforces
http://codeforces.com/problemset/problem/425/D,Sereja and Squares,Codeforces
http://codeforces.com/problemset/problem/528/D,Fuzzy Search,Codeforces
http://codeforces.com/problemset/problem/295/D,Greg and Caves,Codeforces
http://codeforces.com/problemset/problem/613/D,Kingdom and its Cities,Codeforces
http://codeforces.com/problemset/problem/444/D,DZY Loves Strings,Codeforces
http://codeforces.com/problemset/problem/261/D,Maxim and Increasing Subsequence,Codeforces
http://codeforces.com/problemset/problem/420/D,Cup Trick,Codeforces
http://codeforces.com/problemset/problem/576/D,Flights for Regular Customers,Codeforces
http://codeforces.com/problemset/problem/346/D,Robot Control,Codeforces
http://codeforces.com/problemset/problem/314/D,Sereja and Straight Lines,Codeforces
http://codeforces.com/problemset/problem/605/D,Board Game,Codeforces
http://codeforces.com/problemset/problem/671/D,Roads in Yusland,Codeforces
http://codeforces.com/problemset/problem/618/F,Double Knapsack,Codeforces
http://codeforces.com/problemset/problem/578/D,LCS Again,Codeforces
http://codeforces.com/problemset/problem/348/D,Turtles,Codeforces
http://codeforces.com/problemset/problem/464/D,World of Darkraft - 2,Codeforces
http://codeforces.com/problemset/problem/280/D,k-Maximum Subsequence Sum,Codeforces
http://codeforces.com/problemset/problem/660/F,Bear and Bowling 4,Codeforces
http://codeforces.com/problemset/problem/696/D,Legen...,Codeforces
http://codeforces.com/problemset/problem/858/F,Wizard's Tour,Codeforces
