link,name,judge
http://codeforces.com/problemset/problem/527/A,Playing with Paper,Codeforces
http://codeforces.com/problemset/problem/80/A,Panoramix's Prediction,Codeforces
http://codeforces.com/problemset/problem/780/A,Andryusha and Socks,Codeforces
http://codeforces.com/problemset/problem/214/A,System of Equations,Codeforces
http://codeforces.com/problemset/problem/166/E,Tetrahedron,Codeforces
http://codeforces.com/problemset/problem/520/B,Two Buttons,Codeforces
http://codeforces.com/problemset/problem/401/A,Vanya and Cards,Codeforces
http://codeforces.com/problemset/problem/681/A,A Good Contest,Codeforces
http://codeforces.com/problemset/problem/6/A,Triangle,Codeforces
http://codeforces.com/problemset/problem/811/A,Vladik and Courtesy,Codeforces
http://codeforces.com/problemset/problem/349/A,Cinema Line,Codeforces
http://codeforces.com/problemset/problem/330/A,Cakeminator,Codeforces
http://codeforces.com/problemset/problem/445/A,DZY Loves Chessboard,Codeforces
http://codeforces.com/problemset/problem/548/A,Mike and Fax,Codeforces
http://codeforces.com/problemset/problem/706/A,Beru-taxi,Codeforces
http://codeforces.com/problemset/problem/478/A,Initial Bet,Codeforces
http://codeforces.com/problemset/problem/59/A,Word,Codeforces
http://codeforces.com/problemset/problem/462/A,Appleman and Easy Task,Codeforces
http://codeforces.com/problemset/problem/584/A,Olesya and Rodion,Codeforces
p?ID=6,Balloons Colors,A2 Online Judge
http://codeforces.com/problemset/problem/151/A,Soft Drinking,Codeforces
http://codeforces.com/problemset/problem/276/A,Lunch Rush,Codeforces
http://codeforces.com/problemset/problem/732/A,Buy a Shovel,Codeforces
http://codeforces.com/problemset/problem/602/A,Two Bases,Codeforces
http://codeforces.com/problemset/problem/757/A,Gotta Catch Em' All!,Codeforces
http://codeforces.com/problemset/problem/922/A,Cloning Toys,Codeforces
http://codeforces.com/problemset/problem/294/A,Shaass and Oskols,Codeforces
http://codeforces.com/problemset/problem/876/A,Trip For Meal,Codeforces
http://codeforces.com/problemset/problem/275/A,Lights Out,Codeforces
http://codeforces.com/problemset/problem/514/A,Chewba?ca and Number,Codeforces
http://codeforces.com/problemset/problem/629/A,Far Relative’s Birthday Cake,Codeforces
http://codeforces.com/problemset/problem/435/A,Queue on Bus Stop,Codeforces
http://codeforces.com/problemset/problem/697/A,Pineapple Incident,Codeforces
http://codeforces.com/problemset/problem/672/A,Summer Camp,Codeforces
http://codeforces.com/problemset/problem/1/A,Theatre Square,Codeforces
http://codeforces.com/problemset/problem/789/A,Anastasia and pebbles,Codeforces
http://codeforces.com/problemset/problem/219/A,k-String,Codeforces
http://codeforces.com/problemset/problem/339/A,Helpful Maths,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=136,Rare Order,UVA
http://codeforces.com/problemset/problem/41/A,Translation,Codeforces
http://codeforces.com/problemset/problem/554/A,Kyoya and Photobooks,Codeforces
http://codeforces.com/problemset/problem/714/A,Meeting of Old Friends,Codeforces
http://codeforces.com/problemset/problem/124/A,The number of positions,Codeforces
http://codeforces.com/problemset/problem/839/A,Arya and Bran,Codeforces
http://codeforces.com/problemset/problem/233/A,Perfect Permutation,Codeforces
http://codeforces.com/problemset/problem/469/A,I Wanna Be the Guy,Codeforces
http://codeforces.com/problemset/problem/1041/A,Heist,Codeforces
http://codeforces.com/problemset/problem/451/A,Game With Sticks,Codeforces
http://codeforces.com/problemset/problem/577/A,Multiplication Table,Codeforces
http://codeforces.com/problemset/problem/266/A,Stones on the Table,Codeforces
http://codeforces.com/problemset/problem/384/A,Coder,Codeforces
http://codeforces.com/problemset/problem/486/A,Calculating Function,Codeforces
http://codeforces.com/problemset/problem/615/A,Bulbs,Codeforces
http://codeforces.com/problemset/problem/746/A,Compote,Codeforces
http://codeforces.com/problemset/problem/160/A,Twins,Codeforces
http://codeforces.com/problemset/problem/282/A,Bit++,Codeforces
http://codeforces.com/problemset/problem/734/A,Anton and Danik,Codeforces
http://codeforces.com/problemset/problem/816/A,Karen and Morning,Codeforces
http://codeforces.com/problemset/problem/501/A,Contest,Codeforces
http://codeforces.com/problemset/problem/664/A,Complicated GCD,Codeforces
