link,name,judge
http://codeforces.com/problemset/problem/545/D,Queue,Codeforces
http://codeforces.com/problemset/problem/474/D,Flowers,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1346,Longest Common Subsequence,UVA
http://codeforces.com/problemset/problem/414/B,Mashmokh and ACM,Codeforces
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=3133,Coffee Central,Live Archive
http://codeforces.com/problemset/problem/166/E,Tetrahedron,Codeforces
http://codeforces.com/problemset/problem/339/D,Xenia and Bit Operations,Codeforces
http://codeforces.com/problemset/problem/208/D,Prizes, Prizes, more Prizes,Codeforces
http://codeforces.com/problemset/problem/546/D,Soldier and Number Game,Codeforces
http://codeforces.com/problemset/problem/559/B,Equivalent Strings,Codeforces
http://codeforces.com/problemset/problem/670/D2,Magic Powder - 2,Codeforces
http://codeforces.com/problemset/problem/778/A,String Game,Codeforces
http://codeforces.com/problemset/problem/343/B,Alternating Current,Codeforces
http://codeforces.com/problemset/problem/670/D1,Magic Powder - 1,Codeforces
http://codeforces.com/problemset/problem/448/D,Multiplication Table,Codeforces
http://codeforces.com/problemset/problem/804/B,Minimum number of steps,Codeforces
http://codeforces.com/problemset/problem/735/D,Taxes,Codeforces
http://codeforces.com/problemset/problem/118/D,Caesar's Legions,Codeforces
http://codeforces.com/problemset/problem/584/D,Dima and Lisa,Codeforces
http://codeforces.com/problemset/problem/493/D,Vasya and Chess,Codeforces
http://codeforces.com/problemset/problem/126/B,Password,Codeforces
http://codeforces.com/problemset/problem/442/B,Andrey and Problem,Codeforces
http://codeforces.com/problemset/problem/723/D,Lakes in Berland,Codeforces
http://codeforces.com/problemset/problem/573/B,Bear and Blocks,Codeforces
http://codeforces.com/problemset/problem/264/B,Good Sequences,Codeforces
http://codeforces.com/problemset/problem/484/B,Maximum Value,Codeforces
http://codeforces.com/problemset/problem/734/D,Anton and Chess,Codeforces
http://codeforces.com/problemset/problem/659/D,Bicycle Race,Codeforces
http://codeforces.com/problemset/problem/607/B,Zuma,Codeforces
http://codeforces.com/problemset/problem/519/D,A and B and Interesting Substrings,Codeforces
http://codeforces.com/problemset/problem/459/D,Pashmak and Parmida's problem,Codeforces
http://codeforces.com/problemset/problem/741/B,Arpa's weak amphitheater and Mehrdad's valuable Hoses,Codeforces
http://codeforces.com/problemset/problem/271/D,Good Substrings,Codeforces
http://codeforces.com/problemset/problem/777/D,Cloud of Hashtags,Codeforces
http://codeforces.com/problemset/problem/482/B,Interesting Array,Codeforces
http://codeforces.com/problemset/problem/733/D,Kostya the Sculptor,Codeforces
http://codeforces.com/problemset/problem/518/D,Ilya and Escalator,Codeforces
http://codeforces.com/problemset/problem/698/B,Fix a Tree,Codeforces
http://codeforces.com/problemset/problem/580/D,Kefa and Dishes,Codeforces
http://codeforces.com/problemset/problem/875/B,Sorting the Coins,Codeforces
http://codeforces.com/problemset/problem/269/B,Greenhouse Effect,Codeforces
http://codeforces.com/problemset/problem/864/D,Make a Permutation!,Codeforces
http://codeforces.com/problemset/problem/617/D,Polyline,Codeforces
http://codeforces.com/problemset/problem/706/D,Vasiliy's Multiset,Codeforces
http://codeforces.com/problemset/problem/246/D,Colorful Graph,Codeforces
http://codeforces.com/problemset/problem/479/D,Long Jumps,Codeforces
http://codeforces.com/problemset/problem/463/D,Gargari and Permutations,Codeforces
http://codeforces.com/problemset/problem/732/D,Exams,Codeforces
http://codeforces.com/problemset/problem/295/B,Greg and Graph,Codeforces
http://codeforces.com/problemset/problem/746/D,Green and Black Tea,Codeforces
http://codeforces.com/problemset/problem/276/D,Little Girl and Maximum XOR,Codeforces
http://codeforces.com/problemset/problem/340/D,Bubble Sort Graph,Codeforces
http://codeforces.com/problemset/problem/220/B,Little Elephant and Array,Codeforces
http://codeforces.com/problemset/problem/578/B,"Or" Game,Codeforces
