link,name,judge
http://codeforces.com/problemset/problem/474/F,Ant colony,Codeforces
http://codeforces.com/problemset/problem/731/F,Video Cards,Codeforces
http://codeforces.com/problemset/problem/920/F,SUM and REPLACE,Codeforces
http://codeforces.com/problemset/problem/180/F,Mathematical Analysis Rocks!,Codeforces
http://codeforces.com/problemset/problem/659/F,Polycarp and Hay,Codeforces
http://codeforces.com/problemset/problem/538/F,A Heap of Heaps,Codeforces
http://codeforces.com/problemset/problem/489/F,Special Matrices,Codeforces
http://codeforces.com/problemset/problem/626/F,Group Projects,Codeforces
http://codeforces.com/problemset/problem/723/F,st-Spanning Tree,Codeforces
http://codeforces.com/problemset/problem/379/F,New Year Tree,Codeforces
http://codeforces.com/problemset/problem/234/F,Fence,Codeforces
http://codeforces.com/problemset/problem/803/F,Coprime Subsequences,Codeforces
http://codeforces.com/problemset/problem/804/D,Expected diameter of a tree,Codeforces
http://codeforces.com/problemset/problem/733/F,Drivers Dissatisfaction,Codeforces
http://codeforces.com/problemset/problem/846/F,Random Query,Codeforces
http://codeforces.com/problemset/problem/780/F,Axel and Marston in Bitland,Codeforces
http://codeforces.com/problemset/problem/700/C,Break Up,Codeforces
http://codeforces.com/problemset/problem/670/F,Restore a Number,Codeforces
http://codeforces.com/problemset/problem/899/F,Letters Removing,Codeforces
http://codeforces.com/problemset/problem/817/F,MEX Queries,Codeforces
http://codeforces.com/problemset/problem/490/F,Treeland Tour,Codeforces
http://codeforces.com/problemset/problem/691/F,Couple Cover,Codeforces
http://codeforces.com/problemset/problem/778/C,Peterson Polyglot,Codeforces
http://codeforces.com/problemset/problem/585/D,Lizard Era: Beginning,Codeforces
http://codeforces.com/problemset/problem/756/D,Bacterial Melee,Codeforces
http://codeforces.com/problemset/problem/908/F,New Year and Rainbow Roads,Codeforces
http://codeforces.com/problemset/problem/830/C,Bamboo Partition,Codeforces
http://codeforces.com/problemset/problem/755/F,PolandBall and Gifts,Codeforces
http://codeforces.com/problemset/problem/768/F,Barrels and boxes,Codeforces
http://codeforces.com/problemset/problem/732/F,Tourist Reform,Codeforces
http://codeforces.com/problemset/problem/757/F,Team Rocket Rises Again,Codeforces
http://codeforces.com/problemset/problem/858/F,Wizard's Tour,Codeforces
http://codeforces.com/problemset/problem/898/F,Restoring the Expression,Codeforces
http://codeforces.com/problemset/problem/578/D,LCS Again,Codeforces
http://codeforces.com/problemset/problem/868/F,Yet Another Minimization Problem,Codeforces
http://codeforces.com/problemset/problem/653/F,Paper task,Codeforces
http://codeforces.com/problemset/problem/765/F,Souvenirs,Codeforces
http://codeforces.com/problemset/problem/818/F,Level Generation,Codeforces
http://codeforces.com/problemset/problem/748/F,Santa Clauses and a Soccer Championship,Codeforces
http://codeforces.com/problemset/problem/864/F,Cities Excursions,Codeforces
http://codeforces.com/problemset/problem/611/F,New Year and Cleaning,Codeforces
http://codeforces.com/problemset/problem/581/F,Zublicanes and Mumocrates,Codeforces
http://codeforces.com/problemset/problem/645/F,Cowslip Collections,Codeforces
http://codeforces.com/problemset/problem/758/F,Geometrical Progression,Codeforces
http://codeforces.com/problemset/problem/932/F,Escape Through Leaf,Codeforces
http://codeforces.com/problemset/problem/622/F,The Sum of the k-th Powers,Codeforces
http://codeforces.com/problemset/problem/746/F,Music in Car,Codeforces
http://codeforces.com/problemset/problem/884/F,Anti-Palindromize,Codeforces
http://codeforces.com/problemset/problem/940/F,Machine Learning,Codeforces
http://codeforces.com/problemset/problem/632/F,Magic Matrix,Codeforces
http://codeforces.com/problemset/problem/727/F,Polycarp's problems,Codeforces
http://codeforces.com/problemset/problem/509/F,Progress Monitoring,Codeforces
http://codeforces.com/problemset/problem/922/F,Divisibility,Codeforces
http://codeforces.com/problemset/problem/863/F,Almost Permutation,Codeforces
http://codeforces.com/problemset/problem/618/F,Double Knapsack,Codeforces
http://codeforces.com/problemset/problem/660/F,Bear and Bowling 4,Codeforces
http://codeforces.com/problemset/problem/837/F,Prefix Sums,Codeforces
http://codeforces.com/problemset/problem/827/D,Best Edge Weight,Codeforces
http://codeforces.com/problemset/problem/131/F,Present to Mom,Codeforces
http://codeforces.com/problemset/problem/633/F,The Chocolate Spree,Codeforces
http://codeforces.com/problemset/problem/696/D,Legen...,Codeforces
http://codeforces.com/problemset/problem/893/F,Subtree Minimum Query,Codeforces
http://codeforces.com/problemset/problem/808/F,Card Game,Codeforces
http://codeforces.com/problemset/problem/794/F,Leha and security system,Codeforces
http://codeforces.com/problemset/problem/567/F,Mausoleum,Codeforces
http://codeforces.com/problemset/problem/873/F,Forbidden Indices,Codeforces
http://codeforces.com/problemset/problem/729/F,Financiers Game,Codeforces
http://codeforces.com/problemset/problem/911/F,Tree Destruction,Codeforces
http://codeforces.com/problemset/problem/825/F,String Compression,Codeforces
http://codeforces.com/problemset/problem/710/F,String Set Queries,Codeforces
http://codeforces.com/problemset/problem/888/F,Connecting Vertices,Codeforces
http://codeforces.com/problemset/problem/616/F,Expensive Strings,Codeforces
http://codeforces.com/problemset/problem/750/F,New Year and Finding Roots,Codeforces
http://codeforces.com/problemset/problem/698/D,Limak and Shooting Points,Codeforces
http://codeforces.com/problemset/problem/38/F,Smart Boy,Codeforces
http://codeforces.com/problemset/problem/909/F,AND-permutations,Codeforces
http://codeforces.com/problemset/problem/938/F,Erasing Substrings,Codeforces
http://codeforces.com/problemset/problem/702/F,T-Shirts,Codeforces
http://codeforces.com/problemset/problem/797/F,Mice and Holes,Codeforces
http://codeforces.com/problemset/problem/914/F,Substrings in a String,Codeforces
http://codeforces.com/problemset/problem/725/F,Family Photos,Codeforces
http://codeforces.com/problemset/problem/500/F,New Year Shopping,Codeforces
http://codeforces.com/problemset/problem/773/D,Perishable Roads,Codeforces
http://codeforces.com/problemset/problem/518/F,Pasha and Pipe,Codeforces
http://codeforces.com/problemset/problem/913/F,Strongly Connected Tournament,Codeforces
http://codeforces.com/problemset/problem/822/F,Madness,Codeforces
http://codeforces.com/problemset/problem/140/F,New Year Snowflake,Codeforces
http://codeforces.com/problemset/problem/903/F,Clear The Matrix,Codeforces
http://codeforces.com/problemset/problem/813/F,Bipartite Checking,Codeforces
http://codeforces.com/problemset/problem/472/F,Design Tutorial: Change the Goal,Codeforces
http://codeforces.com/problemset/problem/665/F,Four Divisors,Codeforces
http://codeforces.com/problemset/problem/534/F,Simplified Nonogram,Codeforces
http://codeforces.com/problemset/problem/747/F,Igor and Interesting Numbers,Codeforces
http://codeforces.com/problemset/problem/870/F,Paths,Codeforces
http://codeforces.com/problemset/problem/776/F,Sherlock's bet to Moriarty,Codeforces
http://codeforces.com/problemset/problem/600/F,Edge coloring of bipartite graph,Codeforces
http://codeforces.com/problemset/problem/935/F,Fafa and Array,Codeforces
http://codeforces.com/problemset/problem/722/F,Cyclic Cipher,Codeforces
http://codeforces.com/problemset/problem/761/F,Dasha and Photos,Codeforces
http://codeforces.com/problemset/problem/620/F,Xors on Segments,Codeforces
http://codeforces.com/problemset/problem/835/F,Roads in the Kingdom,Codeforces
http://codeforces.com/problemset/problem/939/F,Cutlet,Codeforces
http://codeforces.com/problemset/problem/628/F,Bear and Fair Set,Codeforces
http://codeforces.com/problemset/problem/796/F,Sequence Recovery,Codeforces
http://codeforces.com/problemset/problem/919/F,A Game With Numbers,Codeforces
http://codeforces.com/problemset/problem/887/F,Row of Models,Codeforces
http://codeforces.com/problemset/problem/175/F,Gnomes of Might and Magic,Codeforces
http://codeforces.com/problemset/problem/855/F,Nagini,Codeforces
http://codeforces.com/problemset/problem/792/F,Mages and Monsters,Codeforces
http://codeforces.com/problemset/problem/845/F,Guards In The Storehouse,Codeforces
http://codeforces.com/problemset/problem/612/F,Simba on the Circle,Codeforces
http://codeforces.com/problemset/problem/643/D,Bearish Fanpages,Codeforces
http://codeforces.com/problemset/problem/799/F,Beautiful fountains rows,Codeforces
http://codeforces.com/problemset/problem/762/F,Tree nesting,Codeforces
http://codeforces.com/problemset/problem/587/D,Duff in Mafia,Codeforces
http://codeforces.com/problemset/problem/862/F,Mahmoud and Ehab and the final stage,Codeforces
http://codeforces.com/problemset/problem/652/F,Ants on a Circle,Codeforces
http://codeforces.com/problemset/problem/48/F,Snow sellers,Codeforces
http://codeforces.com/problemset/problem/598/F,Cut Length,Codeforces
