link,name,judge
http://codeforces.com/problemset/problem/270/A,Fancy Fence,Codeforces
http://codeforces.com/problemset/problem/688/B,Lovely Palindromes,Codeforces
http://codeforces.com/problemset/problem/150/A,Win or Freeze,Codeforces
http://codeforces.com/problemset/problem/246/D,Colorful Graph,Codeforces
http://codeforces.com/problemset/problem/243/A,The Brand New Function,Codeforces
http://codeforces.com/problemset/problem/150/B,Quantity of Strings,Codeforces
http://codeforces.com/problemset/problem/246/C,Beauty Pageant,Codeforces
http://codeforces.com/problemset/problem/243/B,Hydra,Codeforces
http://codeforces.com/problemset/problem/246/E,Blood Cousins Return,Codeforces
http://codeforces.com/problemset/problem/248/C,Robo-Footballer,Codeforces
http://codeforces.com/problemset/problem/243/C,Colorado Potato Beetle,Codeforces
http://codeforces.com/problemset/problem/248/D,Sweets for Everyone!,Codeforces
http://codeforces.com/problemset/problem/249/D,Donkey and Stars,Codeforces
http://codeforces.com/problemset/problem/243/E,Matrix,Codeforces
http://codeforces.com/problemset/problem/243/D,Cubes,Codeforces
