link,name,judge
http://www.spoj.com/problems/BSHEEP/,Build the Fence,SPOJ
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=2559,Convex Hull of Lattice Points,Live Archive
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=1656,Onion Layers,Live Archive
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1006,Useless Tile Packers,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=622,Convex Hull Finding,UVA
http://www.spoj.com/problems/ACQUIRE/,Land Acquisition,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=154,Moth Eradication,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=45,SCUD Busters,UVA
http://www.spoj.com/problems/APIO10A/,Commando,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2673,Convex Hull,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=752,The Fortified Forest,UVA
http://www.spoj.com/problems/VMILI/,Military Story,SPOJ
http://www.spoj.com/problems/DOORSPEN/,Doors and Penguins,SPOJ
http://www.spoj.com/problems/SPOINTS/,Separate Points,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=297,Cops and Robbers,UVA
http://www.spoj.com/problems/GOODG/,Good Inflation,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3647,Boundary Points,UVA
http://www.spoj.com/problems/PERFUME/,Perfume,SPOJ
http://www.spoj.com/problems/TBGAME/,Two Ball Game,SPOJ
http://codeforces.com/problemset/problem/865/D,Buy Low Sell High,Codeforces
http://www.spoj.com/problems/DIVCNT1/,Counting Divisors,SPOJ
http://www.spoj.com/problems/AFS3/,Amazing Factor Sequence (hard),SPOJ
