link,name,judge
http://www.spoj.com/problems/BITMAP/,Bitmap,SPOJ
http://www.spoj.com/problems/ALLIZWEL/,ALL IZZ WELL,SPOJ
http://www.spoj.com/problems/BYTESE1/,Lucius Dungeon,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=400,Graph Connectivity,UVA
http://www.spoj.com/problems/TOE2/,Tic-Tac-Toe ( II ),SPOJ
http://www.spoj.com/problems/MAKEMAZE/,VALIDATE THE MAZE,SPOJ
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=4147,Fix the Pond,Live Archive
http://www.spoj.com/problems/STAR3CAS/,THE WEIRD STAIRCASE,SPOJ
http://www.spoj.com/problems/GRAVITY/,GRAVITY,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3974,Fix the Pond,UVA
