link,name,judge
http://codeforces.com/problemset/problem/4/B,Before an Exam,Codeforces
http://poj.org/problem?id=1001,Exponentiation,PKU
http://www.spoj.com/problems/CPCRC1C/,Sum of Digits,SPOJ
http://www.spoj.com/problems/GNY07H/,Tiling a Grid With Dominoes,SPOJ
http://acm.timus.ru/problem.aspx?space=1&num=1353,Milliard Vasya's Function,Timus
http://www.spoj.com/problems/HIST2/,Histogram,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1015,Take the Land,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=977,Divisibility,UVA
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=3068,Membership Management,Live Archive
http://acm.timus.ru/problem.aspx?space=1&num=1012,K-based Numbers. Version 2,Timus
http://codeforces.com/problemset/problem/489/C,Given Length and Sum of Digits...,Codeforces
http://www.spoj.com/problems/ALIEN/,Aliens at the train,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=39,Stacking Boxes,UVA
http://codeforces.com/problemset/problem/112/A,Petya and Strings,Codeforces
http://www.spoj.com/problems/CRSCNTRY/,Cross-country,SPOJ
http://www.spoj.com/problems/MARTIAN/,Martian Mining,SPOJ
http://codeforces.com/problemset/problem/58/A,Chat room,Codeforces
http://www.spoj.com/problems/BYTESM2/,Philosophers Stone,SPOJ
http://www.spoj.com/problems/NOCHANGE/,No Change,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=47,History Grading,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=36,The 3n + 1 problem,UVA
http://codeforces.com/problemset/problem/61/A,Ultra-Fast Mathematician,Codeforces
http://www.spoj.com/problems/SAMER08C/,Candy,SPOJ
http://codeforces.com/problemset/problem/550/C,Divisibility by Eight,Codeforces
http://www.spoj.com/problems/SUMITR/,Sums in a Triangle,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1406,Homer Simpson,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2078,Ingenuous Cubrency,UVA
http://codeforces.com/problemset/problem/474/D,Flowers,Codeforces
http://community.topcoder.com/stat?c=problem_statement&pm=10240,ShorterSuperSum,TopCoder
http://codeforces.com/problemset/problem/476/B,Dreamoon and WiFi,Codeforces
http://www.spoj.com/problems/IOIPALIN/,Palindrome 2000,SPOJ
http://www.spoj.com/problems/ROCK/,Sweet and Sour Rock,SPOJ
http://www.spoj.com/problems/PERMUT1/,Permutations,SPOJ
http://codeforces.com/problemset/problem/732/B,Cormen --- The Best Friend Of a Man,Codeforces
http://codeforces.com/problemset/problem/433/B,Kuriyama Mirai's Stones,Codeforces
http://codeforces.com/problemset/problem/651/A,Joysticks,Codeforces
http://codeforces.com/problemset/problem/230/B,T-primes,Codeforces
http://codeforces.com/problemset/problem/445/A,DZY Loves Chessboard,Codeforces
http://www.spoj.com/problems/ACMAKER/,ACM (ACronymMaker),SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=438,Strategic Defense Initiative,UVA
http://www.spoj.com/problems/FISHER/,Fishmonger,SPOJ
http://acm.timus.ru/problem.aspx?space=1&num=1146,Maximum Sum,Timus
http://acm.tju.edu.cn/toj/showp2768.html,Making Change,TJU
http://www.spoj.com/problems/SCUBADIV/,Scuba diver,SPOJ
http://poj.org/problem?id=1000,A+B Problem,PKU
http://codeforces.com/problemset/problem/431/C,k-Tree,Codeforces
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=932,Bridging signals,Live Archive
http://codeforces.com/problemset/problem/327/A,Flipping Game,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=777,Largest Submatrix,UVA
http://www.codechef.com/problems/SUMTRIAN,Sums in a Triangle,CodeChef
http://www.spoj.com/problems/ACPC10D/,Tri graphs,SPOJ
http://www.spoj.com/problems/AIBOHP/,Aibohphobia,SPOJ
http://acm.timus.ru/problem.aspx?space=1&num=1009,K-based Numbers,Timus
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=1640,Prime Path,Live Archive
http://www.spoj.com/problems/TWENDS/,Two Ends,SPOJ
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=426,Mice and Maze,Live Archive
http://acm.timus.ru/problem.aspx?space=1&num=1073,Square Country,Timus
http://codeforces.com/problemset/problem/38/A,Army,Codeforces
http://codeforces.com/problemset/problem/115/A,Party,Codeforces
http://www.spoj.com/problems/ACTIV/,Activities,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=436,Fibonacci Freeze,UVA
http://www.spoj.com/problems/GSS1/,Can you answer these queries I,SPOJ
p?ID=347,Simple Math,A2 Online Judge
http://www.spoj.com/problems/ANARC05B/,The Double HeLiX,SPOJ
p?ID=348,Positive or Negative,A2 Online Judge
http://www.spoj.com/problems/ROADS/,Roads,SPOJ
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=4673,Equal Sum Sets,Live Archive
http://www.spoj.com/problems/FARIDA/,Princess Farida,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=503,Dividing coins,UVA
http://www.spoj.com/problems/MPILOT/,Pilots,SPOJ
http://www.spoj.com/problems/ABCPATH/,ABC Path,SPOJ
http://codeforces.com/problemset/problem/538/B,Quasi Binary,Codeforces
http://codeforces.com/problemset/problem/515/C,Drazil and Factorial,Codeforces
http://www.spoj.com/problems/FPOLICE/,Fool the Police,SPOJ
http://acm.timus.ru/problem.aspx?space=1&num=1018,Binary Apple Tree,Timus
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3947,Robot Instructions,UVA
http://www.spoj.com/problems/PT07X/,Vertex Cover,SPOJ
http://www.spoj.com/problems/PARTY/,Party Schedule,SPOJ
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=2213,Candy,Live Archive
http://codeforces.com/problemset/problem/750/A,New Year and Hurry,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1226,Longest Run on a Snowboard,UVA
http://www.spoj.com/problems/HOTELS/,Hotels Along the Croatian Coast,SPOJ
http://codeforces.com/problemset/problem/734/A,Anton and Danik,Codeforces
http://www.spoj.com/problems/M3TILE/,LATGACH3,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1557,Divisible Group Sums,UVA
http://www.spoj.com/problems/EDIST/,Edit distance,SPOJ
http://acm.timus.ru/problem.aspx?space=1&num=1119,Metro,Timus
http://www.spoj.com/problems/IWGBS/,0110SS,SPOJ
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=816,Tiling Up Blocks,Live Archive
http://www.spoj.com/problems/DCEPC501/,Save Thy Toys,SPOJ
http://www.spoj.com/problems/TRT/,Treats for the Cows,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2445,Wedding shopping,UVA
http://www.codechef.com/problems/INTEST,Enormous Input Test,CodeChef
http://www.spoj.com/problems/WACHOVIA/,Wachovia Bank,SPOJ
http://www.spoj.com/problems/ANARC09A/,Seinfeld,SPOJ
p?ID=1,Omar,A2 Online Judge
http://codeforces.com/problemset/problem/545/C,Woodcutters,Codeforces
http://www.spoj.com/problems/HISTOGRA/,Largest Rectangle in a Histogram,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=152,Getting in Line,UVA
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=1079,Alphacode,Live Archive
http://codeforces.com/problemset/problem/580/A,Kefa and First Steps,Codeforces
http://www.spoj.com/problems/RENT/,Rent your airplane and make money,SPOJ
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=4529,Generations of Tribbles,Live Archive
http://www.spoj.com/problems/BABTWR/,Tower of Babylon,SPOJ
http://acm.tju.edu.cn/toj/showp2769.html,The Bale Tower,TJU
http://www.spoj.com/problems/XMAX/,XOR Maximization,SPOJ
http://codeforces.com/problemset/problem/489/B,BerSU Ball,Codeforces
http://poj.org/problem?id=1218,THE DRUNK JAILER,PKU
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=944,Cutting Sticks,UVA
http://www.spoj.com/problems/ABA12C/,Buying Apples!,SPOJ
http://www.spoj.com/problems/MBLAST/,BLAST,SPOJ
http://codeforces.com/problemset/problem/550/A,Two Substrings,Codeforces
http://acm.timus.ru/problem.aspx?space=1&num=1017,Staircases,Timus
http://codeforces.com/problemset/problem/894/A,QAQ,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=52,Unidirectional TSP,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1884,How do you add?,UVA
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=1918,Tiling a Grid With Dominoes,Live Archive
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=293,Let Me Count The Ways,UVA
