link,name,judge
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=53,The Postal Worker Rings Once,UVA
http://www.spoj.com/problems/WORDS1/,Play on Words,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=995,The Necklace,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1070,Play on Words,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1144,Snow Clearing,UVA
http://acm.timus.ru/problem.aspx?space=1&num=1137,Bus Routes,Timus
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=238,John's trip,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1382,Catenyms,UVA
http://codeforces.com/problemset/problem/788/B,Weird journey,Codeforces
http://www.spoj.com/problems/HCHAINS/,Islands and Hotel Chains,SPOJ
http://codeforces.com/problemset/problem/508/D,Tanya and Password,Codeforces
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=3518,John's trip,Live Archive
http://codeforces.com/problemset/problem/723/E,One-Way Reform,Codeforces
http://codeforces.com/problemset/problem/21/D,Traveling Graph,Codeforces
http://codeforces.com/problemset/problem/267/B,Dominoes,Codeforces
