link,name,judge
http://www.spoj.com/problems/MUL/,Fast Multiplication,SPOJ
http://www.spoj.com/problems/POLYMUL/,Polynomial Multiplication,SPOJ
http://www.spoj.com/problems/VFMUL/,Very Fast Multiplication,SPOJ
http://www.codechef.com/problems/COUNTARI,Arithmetic Progressions,CodeChef
http://www.codechef.com/problems/FARASA,Furik and Rubik and Sub Array,CodeChef
http://www.spoj.com/problems/MAXMATCH/,Maximum Self-Matching,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=4744,Golf Bot,UVA
http://www.codechef.com/problems/BUYLAND,Buying Land,CodeChef
http://codeforces.com/problemset/problem/528/D,Fuzzy Search,Codeforces
http://codeforces.com/problemset/problem/444/B,DZY Loves FFT,Codeforces
http://codeforces.com/problemset/problem/632/E,Thief in a Shop,Codeforces
http://codeforces.com/problemset/problem/662/C,Binary Table,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=4929,Design New Capital,UVA
http://codeforces.com/problemset/problem/286/E,Ladies' Shop,Codeforces
http://codeforces.com/problemset/problem/300/D,Painting Square,Codeforces
http://codeforces.com/problemset/problem/438/E,The Child and Binary Tree,Codeforces
http://codeforces.com/problemset/problem/472/G,Design Tutorial: Increase the Constraints,Codeforces
http://codeforces.com/problemset/problem/754/E,Dasha and cyclic table,Codeforces
http://codeforces.com/problemset/problem/623/E,Transforming Sequence,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=4791,Tile Cutting,UVA
http://codeforces.com/problemset/problem/553/E,Kyoya and Train,Codeforces
http://codeforces.com/problemset/problem/848/E,Days of Floral Colours,Codeforces
http://codeforces.com/problemset/problem/896/D,Nephren Runs a Cinema,Codeforces
