link,name,judge
http://www.spoj.com/problems/GS/,Going to school,SPOJ
http://www.spoj.com/problems/LIM/,Lost in Madrid,SPOJ
http://acm.timus.ru/problem.aspx?space=1&num=1042,Central Heating,Timus
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=625,Integral Determinant,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2537,Square,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1707,Organising the Organisation,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2294,Stupid Sequence,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1769,Back to Kernighan-Ritchie,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1050,Solving Systems of Linear Equations,UVA
http://www.spoj.com/problems/RESIST/,Kirchhof Law,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2855,Table Tennis,UVA
