link,name,judge
http://www.spoj.com/problems/GERGOVIA/,Wine trading in Gergovia,SPOJ
http://codeforces.com/problemset/problem/508/B,Anton and currency you all know,Codeforces
http://codeforces.com/problemset/problem/469/A,I Wanna Be the Guy,Codeforces
http://codeforces.com/problemset/problem/785/B,Anton and Classes,Codeforces
http://codeforces.com/problemset/problem/482/A,Diverse Permutation,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2267,Dragon of Loowater,UVA
http://codeforces.com/problemset/problem/385/A,Bear and Raspberry,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=284,Optimal Array Multiplication Sequence,UVA
http://codeforces.com/problemset/problem/651/B,Beautiful Paintings,Codeforces
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=5215,At most twice,Live Archive
http://codeforces.com/problemset/problem/514/A,Chewba?ca and Number,Codeforces
http://www.spoj.com/problems/SOLDIER/,Help the soldier,SPOJ
http://codeforces.com/problemset/problem/38/A,Army,Codeforces
http://codeforces.com/problemset/problem/265/B,Roadside Trees (Simplified Edition),Codeforces
http://codeforces.com/problemset/problem/50/A,Domino piling,Codeforces
http://codeforces.com/problemset/problem/478/C,Table Decorations,Codeforces
http://codeforces.com/problemset/problem/520/B,Two Buttons,Codeforces
http://codeforces.com/problemset/problem/350/A,TL,Codeforces
http://codeforces.com/problemset/problem/546/B,Soldier and Badges,Codeforces
http://codeforces.com/problemset/problem/538/B,Quasi Binary,Codeforces
http://codeforces.com/problemset/problem/766/B,Mahmoud and a Triangle,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1597,Maximum Sum (II),UVA
http://codeforces.com/problemset/problem/588/A,Duff and Meat,Codeforces
http://codeforces.com/problemset/problem/149/A,Business trip,Codeforces
http://codeforces.com/problemset/problem/515/C,Drazil and Factorial,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1018,The Stern-Brocot Number System,UVA
http://codeforces.com/problemset/problem/285/A,Slightly Decreasing Permutations,Codeforces
http://codeforces.com/problemset/problem/659/C,Tanya and Toys,Codeforces
http://codeforces.com/problemset/problem/489/B,BerSU Ball,Codeforces
http://www.spoj.com/problems/ADDREV/,Adding Reversed Numbers,SPOJ
http://codeforces.com/problemset/problem/545/B,Equidistant String,Codeforces
http://codeforces.com/problemset/problem/285/C,Building Permutation,Codeforces
http://codeforces.com/problemset/problem/389/A,Fox and Number Game,Codeforces
http://codeforces.com/problemset/problem/124/A,The number of positions,Codeforces
http://codeforces.com/problemset/problem/447/B,DZY Loves Strings,Codeforces
http://codeforces.com/problemset/problem/556/A,Case of the Zeros and Ones,Codeforces
http://www.spoj.com/problems/EXPEDI/,Expedition,SPOJ
http://codeforces.com/problemset/problem/609/A,USB Flash Drives,Codeforces
http://codeforces.com/problemset/problem/461/A,Appleman and Toastman,Codeforces
http://codeforces.com/problemset/problem/405/A,Gravity Flip,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1281,All in All,UVA
http://codeforces.com/problemset/problem/1/A,Theatre Square,Codeforces
http://codeforces.com/problemset/problem/545/C,Woodcutters,Codeforces
http://codeforces.com/problemset/problem/489/C,Given Length and Sum of Digits...,Codeforces
http://codeforces.com/problemset/problem/339/A,Helpful Maths,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2384,The Bus Driver Problem,UVA
http://codeforces.com/problemset/problem/743/A,Vladik and flights,Codeforces
http://codeforces.com/problemset/problem/479/C,Exams,Codeforces
http://www.spoj.com/problems/DIEHARD/,DIE HARD,SPOJ
http://codeforces.com/problemset/problem/230/A,Dragons,Codeforces
http://www.codechef.com/problems/FGFS,Bon Appetit,CodeChef
http://codeforces.com/problemset/problem/276/B,Little Girl and Game,Codeforces
