link,name,judge
http://poj.org/problem?id=3041,Asteroids,PKU
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=1277,The Great Wall Game,Live Archive
http://poj.org/problem?id=3020,Antenna Placement,PKU
http://www.spoj.com/problems/BABY/,Baby,SPOJ
http://www.spoj.com/problems/SCITIES/,Selfish Cities,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1687,Crime Wave - The Sequel,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1237,Jogging Trails,UVA
http://acm.sgu.ru/problem.php?contest=0&problem=210,Beloved Sons,SGU
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2378,Golden Tiger Claw,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1829,Warehouse,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=4385,30 Minutes or Less,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=4386,Gödel's Dream,UVA
http://codeforces.com/problemset/problem/491/C,Deciphering,Codeforces
