link,name,judge
http://www.spoj.com/problems/FINDSR/,Find String Roots,SPOJ
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=1027,Period,Live Archive
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1620,I Love Strings!!,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=396,Periodic Strings,UVA
http://www.spoj.com/problems/EPALIN/,Extend to Palindrome,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1239,Power Strings,UVA
http://www.spoj.com/problems/PERIOD/,Period,SPOJ
http://www.spoj.com/problems/NAJPF/,Pattern Find,SPOJ
http://www.spoj.com/problems/NHAY/,A Needle in the Haystack,SPOJ
http://www.spoj.com/problems/PSTRING/,Remove The String,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2470,Extend to Palindrome,UVA
http://www.spoj.com/problems/ARDA1/,The hunt for Gollum,SPOJ
http://www.spoj.com/problems/FILRTEST/,File Recover Testing,SPOJ
http://acm.timus.ru/problem.aspx?space=1&num=1423,String Tale,Timus
http://codeforces.com/problemset/problem/126/B,Password,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1963,String Factoring,UVA
http://www.spoj.com/problems/CF25E/,Test,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2623,Scrolling Sign,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3911,Secret Word,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2447,Dancing the Cheeky-Cheeky,UVA
http://www.spoj.com/problems/VPALIN/,Finding Palindromes,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2988,Abnormal 89's,UVA
http://www.spoj.com/problems/JZPGYZ/,Sevenk Love Oimaster,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1960,Matrix Matcher,UVA
http://codeforces.com/problemset/problem/535/D,Tavas and Malekas,Codeforces
http://codeforces.com/problemset/problem/432/D,Prefixes and Suffixes,Codeforces
http://codeforces.com/problemset/problem/471/D,MUH and Cube Walls,Codeforces
http://www.spoj.com/problems/CPATTERN/,Cow Patterns,SPOJ
http://codeforces.com/problemset/problem/494/B,Obsessive String,Codeforces
http://codeforces.com/problemset/problem/346/B,Lucky Common Subsequence,Codeforces
http://www.spoj.com/problems/ANARC08C/,Match Maker,SPOJ
http://codeforces.com/problemset/problem/631/D,Messenger,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=4282,Caesar Cipher,UVA
http://www.spoj.com/problems/UNTITLED/,Untitled Problem,SPOJ
http://codeforces.com/problemset/problem/119/D,String Transformation,Codeforces
