link,name,judge
http://www.spoj.com/problems/LCA/,Lowest Common Ancestor,SPOJ
http://www.spoj.com/problems/QTREE2/,Query on a tree II,SPOJ
http://www.spoj.com/problems/DISQUERY/,Distance Query,SPOJ
https://www.urionlinejudge.com.br/judge/en/problems/view/1135,Ants Colony,URI
http://www.codechef.com/problems/TALCA,Lowest Common Ancestor,CodeChef
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1879,Flea circus,UVA
http://acm.timus.ru/problem.aspx?space=1&num=1471,Distance in the Tree,Timus
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3390,Ants Colony,UVA
http://codeforces.com/problemset/problem/191/C,Fools and Roads,Codeforces
http://codeforces.com/problemset/problem/519/E,A and B and Lecture Rooms,Codeforces
http://codeforces.com/problemset/problem/472/D,Design Tutorial: Inverse the Problem,Codeforces
http://acm.timus.ru/problem.aspx?space=1&num=1752,Tree 2,Timus
http://codeforces.com/problemset/problem/832/D,Misha, Grisha and Underground,Codeforces
http://codeforces.com/problemset/problem/587/C,Duff in the Army,Codeforces
http://community.topcoder.com/stat?c=problem_statement&pm=6551,FloatingMedian,TopCoder
http://acm.timus.ru/problem.aspx?space=1&num=1699,Turning Turtles,Timus
