link,name,judge
http://www.spoj.com/problems/CRSCNTRY/,Cross-country,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1346,Longest Common Subsequence,UVA
http://www.spoj.com/problems/IOIPALIN/,Palindrome 2000,SPOJ
http://www.spoj.com/problems/AIBOHP/,Aibohphobia,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1072,Is Bigger Smarter?,UVA
http://www.spoj.com/problems/ADFRUITS/,Advanced Fruits,SPOJ
http://www.spoj.com/problems/SAMER08D/,DNA Sequences,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=47,History Grading,UVA
http://poj.org/problem?id=1458,Common Subsequence,PKU
http://acm.tju.edu.cn/toj/showp1683.html,Common Subsequence,TJU
http://www.spoj.com/problems/KNAPSACK/,The Knapsack Problem,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1576,Prince and Princess,UVA
http://www.spoj.com/problems/XMEN/,X-MEN,SPOJ
http://codeforces.com/problemset/problem/463/D,Gargari and Permutations,Codeforces
http://codeforces.com/problemset/problem/346/B,Lucky Common Subsequence,Codeforces
http://codeforces.com/problemset/problem/578/D,LCS Again,Codeforces
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=778,k-longest Common Sequence,Live Archive
