link,name,judge
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=167,Testing the CATCHER,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=47,History Grading,UVA
http://www.spoj.com/problems/ELIS/,Easy Longest Increasing Subsequence,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=39,Stacking Boxes,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=438,Strategic Defense Initiative,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1475,Wavio Sequence,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=378,The Tower of Babylon,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=422,What Goes Up,UVA
http://www.spoj.com/problems/BRIDGE/,Building Bridges,SPOJ
http://www.spoj.com/problems/DANGER/,In Danger,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2451,Trainsorting,UVA
http://www.spoj.com/problems/LIS2/,Another Longest Increasing Subsequence Problem,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2890,Murcia's Skyline,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=992,Tower of Cubes,UVA
http://acm.tju.edu.cn/toj/showp1216.html,Is Bigger Smarter?,TJU
http://www.spoj.com/problems/SUPPER/,Supernumbers in a permutation,SPOJ
http://www.spoj.com/problems/BAT3/,BATMAN3,SPOJ
http://codeforces.com/problemset/problem/269/B,Greenhouse Effect,Codeforces
http://www.spoj.com/problems/BRDGHRD/,Building Bridges(HARD),SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3637,Tiling Up Blocks,UVA
http://codeforces.com/problemset/problem/340/D,Bubble Sort Graph,Codeforces
