link,name,judge
http://www.spoj.com/problems/QTREE2/,Query on a tree II,SPOJ
http://www.spoj.com/problems/LCA/,Lowest Common Ancestor,SPOJ
http://www.spoj.com/problems/QTREE/,Query on a tree,SPOJ
http://acm.tju.edu.cn/toj/showp2241.html,Ancestor,TJU
http://www.spoj.com/problems/DISQUERY/,Distance Query,SPOJ
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=4151,Joining Couples,Live Archive
http://acm.tju.edu.cn/toj/showp1051.html,Closest Common Ancestors,TJU
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3390,Ants Colony,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1879,Flea circus,UVA
http://codeforces.com/problemset/problem/519/E,A and B and Lecture Rooms,Codeforces
http://codeforces.com/problemset/problem/191/C,Fools and Roads,Codeforces
http://codeforces.com/problemset/problem/587/C,Duff in the Army,Codeforces
http://www.codechef.com/problems/TRIPS,Children Trips,CodeChef
http://codeforces.com/problemset/problem/165/D,Beard Graph,Codeforces
