link,name,judge
http://www.spoj.com/problems/DQUERY/,D-query,SPOJ
http://codeforces.com/problemset/problem/506/D,Mr. Kitayuta's Colorful Graph,Codeforces
http://codeforces.com/problemset/problem/86/D,Powerful array,Codeforces
http://www.spoj.com/problems/GOT/,Gao on a tree,SPOJ
http://acm.timus.ru/problem.aspx?space=1&num=1846,GCD 2010,Timus
http://codeforces.com/problemset/problem/220/B,Little Elephant and Array,Codeforces
http://www.spoj.com/problems/ZQUERY/,Zero Query,SPOJ
http://codeforces.com/problemset/problem/342/E,Xenia and Tree,Codeforces
http://codeforces.com/problemset/problem/617/E,XOR and Favorite Number,Codeforces
http://codeforces.com/problemset/problem/375/D,Tree and Queries,Codeforces
http://codeforces.com/problemset/problem/641/E,Little Artem and Time Machine,Codeforces
http://codeforces.com/problemset/problem/444/C,DZY Loves Colors,Codeforces
http://codeforces.com/problemset/problem/455/D,Serega and Fun,Codeforces
http://codeforces.com/problemset/problem/446/C,DZY Loves Fibonacci Numbers,Codeforces
http://codeforces.com/problemset/problem/44/C,Holidays,Codeforces
http://codeforces.com/problemset/problem/13/E,Holes,Codeforces
http://www.spoj.com/problems/CPAIR2/,Counting diff-pairs,SPOJ
http://www.spoj.com/problems/ADANUM/,Ada and Numbering,SPOJ
http://codeforces.com/problemset/problem/348/C,Subset Sums,Codeforces
http://codeforces.com/problemset/problem/351/D,Jeff and Removing Periods,Codeforces
http://codeforces.com/problemset/problem/487/D,Conveyor Belts,Codeforces
http://codeforces.com/problemset/problem/877/F,Ann and Books,Codeforces
http://codeforces.com/problemset/problem/398/D,Instant Messanger,Codeforces
http://codeforces.com/problemset/problem/840/D,Destiny,Codeforces
