link,name,judge
http://codeforces.com/problemset/problem/450/B,Jzzhu and Sequences,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1136,The Knights Of The Round Table,UVA
http://codeforces.com/problemset/problem/166/E,Tetrahedron,Codeforces
http://www.spoj.com/problems/SEQ/,Recursive Sequence,SPOJ
http://www.spoj.com/problems/FIBOSUM/,Fibonacci Sum,SPOJ
http://www.spoj.com/problems/MIXTURES/,Mixtures,SPOJ
http://www.spoj.com/problems/RABBIT1/,Counting Rabbits,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1170,Modular Fibonacci,UVA
http://www.spoj.com/problems/SPP/,Recursive Sequence (Version II),SPOJ
http://www.spoj.com/problems/PDECODE/,Decode the Strings,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1630,Yet another Number Sequence,UVA
http://www.spoj.com/problems/MAIN74/,Euclids algorithm revisited ,SPOJ
http://www.spoj.com/problems/SUMSUMS/,Summing Sums,SPOJ
http://codeforces.com/problemset/problem/485/A,Factory,Codeforces
http://www.spoj.com/problems/FLIB/,Flibonakki,SPOJ
http://codeforces.com/problemset/problem/505/A,Mr. Kitayuta's Gift,Codeforces
http://www.spoj.com/problems/TETRAHRD/,Sum of Tetranacci numbers,SPOJ
http://www.spoj.com/problems/NUMQDW/,Number of quite different words,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3914,Tribonacci,UVA
http://www.spoj.com/problems/PA06ANT/,Ant,SPOJ
http://codeforces.com/problemset/problem/225/C,Barcode,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1811,Recurrences,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1596,Contemplation! Algebra,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1622,Teobaldo's Trip,UVA
http://www.spoj.com/problems/REC/,Recurrence,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1459,How Many Calls?,UVA
http://www.spoj.com/problems/GEN/,Text Generator,SPOJ
http://codeforces.com/problemset/problem/337/C,Quiz,Codeforces
http://www.spoj.com/problems/DCEPC12E/,End of Fun,SPOJ
http://codeforces.com/problemset/problem/185/A,Plant,Codeforces
http://www.spoj.com/problems/PLHOP/,Plane Hopping,SPOJ
http://www.spoj.com/problems/PIBO/,Fibonacci vs Polynomial,SPOJ
http://www.spoj.com/problems/ITRIX12E/,R  Numbers,SPOJ
http://codeforces.com/problemset/problem/582/B,Once Again...,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2090,Power of Matrix,UVA
http://acm.sgu.ru/problem.php?contest=0&problem=407,Number of Paths in the Empire,SGU
http://codeforces.com/problemset/problem/678/D,Iterated Linear Function,Codeforces
http://www.spoj.com/problems/LIFEGAME/,Life Game,SPOJ
http://www.spoj.com/problems/RP/,Life, the Universe, and Everything II,SPOJ
http://codeforces.com/problemset/problem/621/E,Wet Shark and Blocks,Codeforces
http://www.spoj.com/problems/HS08FOUR/,Four colors,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2546,Experienced Endeavour,UVA
http://www.spoj.com/problems/AIRLINES/,Jumbo Airlines,SPOJ
http://www.spoj.com/problems/AMR10E/,Stocks Prediction,SPOJ
http://acm.timus.ru/problem.aspx?space=1&num=1013,K-based Numbers. Version 3,Timus
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2481,Finding Paths in Grid,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1695,Fantastic Sequence,UVA
http://codeforces.com/problemset/problem/821/E,Okabe and El Psy Kongroo,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2032,How many Knight Placing?,UVA
http://www.spoj.com/problems/GREMLINS/,Gremlins,SPOJ
http://codeforces.com/problemset/problem/551/D,GukiZ and Binary Operations,Codeforces
http://www.spoj.com/problems/GEN2/,Text Generater II,SPOJ
http://codeforces.com/problemset/problem/222/E,Decoding Genome,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2698,Krypton Number System,UVA
http://www.spoj.com/problems/PIB/,Pibonacci,SPOJ
http://codeforces.com/problemset/problem/514/E,Darth Vader and Tree,Codeforces
http://codeforces.com/problemset/problem/717/D,Dexterina’s Lab,Codeforces
http://codeforces.com/problemset/problem/780/F,Axel and Marston in Bitland,Codeforces
http://codeforces.com/problemset/problem/348/D,Turtles,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2841,Ignore the Blocks,UVA
http://codeforces.com/problemset/problem/193/C,Hamming Distance,Codeforces
http://codeforces.com/problemset/problem/351/C,Jeff and Brackets,Codeforces
http://codeforces.com/problemset/problem/147/B,Smile House,Codeforces
http://codeforces.com/problemset/problem/385/E,Bear in the Field,Codeforces
http://codeforces.com/problemset/problem/226/C,Anniversary,Codeforces
http://codeforces.com/problemset/problem/576/D,Flights for Regular Customers,Codeforces
http://codeforces.com/problemset/problem/662/A,Gambling Nim,Codeforces
http://codeforces.com/problemset/problem/107/D,Crime Management,Codeforces
http://codeforces.com/problemset/problem/498/E,Stairs and Lines,Codeforces
http://codeforces.com/problemset/problem/51/E,Pentagon,Codeforces
http://codeforces.com/problemset/problem/453/D,Little Pony and Elements of Harmony,Codeforces
http://codeforces.com/problemset/problem/113/D,Museum,Codeforces
http://codeforces.com/problemset/problem/60/E,Mushroom Gnomes,Codeforces
http://codeforces.com/problemset/problem/193/E,Fibonacci Number,Codeforces
http://codeforces.com/problemset/problem/472/F,Design Tutorial: Change the Goal,Codeforces
