link,name,judge
http://www.spoj.com/problems/ABCDEF/,ABCDEF,SPOJ
http://www.spoj.com/problems/SUMFOUR/,4 values whose sum is 0,SPOJ
http://www.spoj.com/problems/SUBSUMS/,Subset Sums,SPOJ
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=1507,4 Values whose Sum is 0,Live Archive
http://acm.tju.edu.cn/toj/showp2407.html,4 Values whose Sum is 0,TJU
http://codeforces.com/problemset/problem/515/B,Drazil and His Happy Friends,Codeforces
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=3996,Robbing Gringotts,Live Archive
http://www.spoj.com/problems/SOLIT/,Solitaire,SPOJ
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=1889,The Morning after Halloween,Live Archive
http://codeforces.com/problemset/problem/552/C,Vanya and Scales,Codeforces
http://www.spoj.com/problems/FACENEMY/,Face the mate,SPOJ
http://codeforces.com/problemset/problem/888/E,Maximum Subsequence,Codeforces
http://codeforces.com/problemset/problem/490/D,Chocolate,Codeforces
http://www.spoj.com/problems/PARITY/,Parity,SPOJ
http://codeforces.com/problemset/problem/513/G1,Inversions problem,Codeforces
http://www.spoj.com/problems/MAXISET/,Maximal Independent Set,SPOJ
http://codeforces.com/problemset/problem/457/A,Golden System,Codeforces
http://codeforces.com/problemset/problem/525/E,Anya and Cubes,Codeforces
http://codeforces.com/problemset/problem/285/D,Permutation Sum,Codeforces
http://codeforces.com/problemset/problem/327/E,Axis Walking,Codeforces
http://codeforces.com/problemset/problem/585/D,Lizard Era: Beginning,Codeforces
http://community.topcoder.com/stat?c=problem_statement&pm=12420,EllysBulls,TopCoder
http://codeforces.com/problemset/problem/45/D,Event Dates,Codeforces
http://codeforces.com/problemset/problem/839/E,Mother of Dragons,Codeforces
http://acm.tju.edu.cn/toj/showp3081.html,The Morning after Halloween,TJU
http://acm.tju.edu.cn/toj/showp2049.html,Missing Piece 2001,TJU
http://codeforces.com/problemset/problem/534/F,Simplified Nonogram,Codeforces
http://codeforces.com/problemset/problem/468/E,Permanent,Codeforces
http://codeforces.com/problemset/problem/478/E,Wavy numbers,Codeforces
