link,name,judge
http://www.spoj.com/problems/GCDEX/,GCD Extreme,SPOJ
http://www.spoj.com/problems/LCMSUM/,LCM Sum,SPOJ
http://codeforces.com/problemset/problem/80/A,Panoramix's Prediction,Codeforces
http://www.codechef.com/problems/COPRIME3,Coprime Triples,CodeChef
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=2185,Sky Code,Live Archive
http://www.codechef.com/problems/EXGCD,Expected Greatest Common Divisor,CodeChef
http://www.codechef.com/problems/LCM,Adding Least Common Multiples,CodeChef
http://codeforces.com/problemset/problem/900/D,Unusual Sequences,Codeforces
http://www.codechef.com/problems/ENCODE07,Mobius Multiplications,CodeChef
http://www.spoj.com/problems/GCDEX2/,GCD Extreme (hard),SPOJ
