link,name,judge
http://www.spoj.com/problems/MTOTALF/,Total Flow,SPOJ
http://www.spoj.com/problems/MATCHING/,Fast Maximum Matching,SPOJ
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=1563,Remember the A La Mode!,Live Archive
http://poj.org/problem?id=1273,Drainage Ditches,PKU
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=761,Internet Bandwidth,UVA
http://www.spoj.com/problems/FASTFLOW/,Fast Maximum Flow,SPOJ
http://www.spoj.com/problems/TAXI/,Taxi,SPOJ
http://www.spoj.com/problems/QUEST4/,Dungeon of Death,SPOJ
http://codeforces.com/problemset/problem/61/A,Ultra-Fast Mathematician,Codeforces
http://www.spoj.com/problems/ACODE/,Alphacode,SPOJ
http://www.spoj.com/problems/POTHOLE/,Potholers,SPOJ
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=2260,Dangerous Tunnels,Live Archive
http://acm.tju.edu.cn/toj/showp2842.html,Course,TJU
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1021,Gopher II,UVA
http://www.spoj.com/problems/NETADMIN/,Smart Network Administrator,SPOJ
http://www.spoj.com/problems/ANGELS/,Angels and Devils,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=195,Software Allocation,UVA
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=2323,Destroying the bus stations,Live Archive
http://www.spoj.com/problems/GREED/,Greedy island,SPOJ
http://www.spoj.com/problems/SCITIES/,Selfish Cities,SPOJ
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=3815,Route Redundancy,Live Archive
http://www.spoj.com/problems/EN/,Entrapment,SPOJ
http://www.spoj.com/problems/IM/,Intergalactic Map,SPOJ
http://www.spoj.com/problems/OPTM/,Optimal Marks,SPOJ
http://www.spoj.com/problems/COCONUTS/,Coconuts,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1190,The Grand Dinner,UVA
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=4582,It Can Be Arranged,Live Archive
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=928,"Shortest" pair of paths,Live Archive
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1033,The Problem with the Problem Setter,UVA
http://acm.tju.edu.cn/toj/showp1636.html,Going Home,TJU
http://www.spoj.com/problems/CABLETV/,Cable TV Network,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1986,My T-shirt suits me,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1421,Sabotage,UVA
