link,name,judge
http://www.spoj.com/problems/MAXWOODS/,MAXIMUM WOOD CUTTER,SPOJ
http://www.spoj.com/problems/IWGBS/,0110SS,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=944,Cutting Sticks,UVA
http://www.spoj.com/problems/DIEHARD/,DIE HARD,SPOJ
http://www.spoj.com/problems/MAY99_3/,Easy Jug,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2445,Wedding shopping,UVA
http://www.spoj.com/problems/PIGBANK/,Piggy-Bank,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1406,Homer Simpson,UVA
http://www.spoj.com/problems/MPILOT/,Pilots,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1884,How do you add?,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=52,Unidirectional TSP,UVA
http://www.spoj.com/problems/BYTESM2/,Philosophers Stone,SPOJ
http://www.spoj.com/problems/DCEPC501/,Save Thy Toys,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=977,Divisibility,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2750,sqrt log sin,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1662,Bar Codes,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1387,The Marriage Interview :-),UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2415,Chest of Drawers,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=132,Spreadsheet,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=512,Jugs,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2402,Squares,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1853,Simple Minded Hashing,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1341,Game Show Math,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1851,Marks Distribution,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1278,Flight Planner,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3702,String Popping,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1629,The Poor Giant,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1461,Determine it,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1921,Lowest Price in Town,UVA
http://www.spoj.com/problems/GCJ1C09C/,Bribe the Prisoners,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1027,Test the Rods,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1967,A Grouping Problem,UVA
http://www.spoj.com/problems/TECHOFES/,INVITATION FOR TECHOFES,SPOJ
http://www.spoj.com/problems/IPL1/,IPL - CRICKET TOURNAMENT,SPOJ
http://www.spoj.com/problems/GO4DIMON/,GO FOR DIAMONDS,SPOJ
http://www.spoj.com/problems/JUMPDORA/,JUMPING DORA,SPOJ
