link,name,judge
http://www.spoj.com/problems/FCTRL/,Factorial,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3565,Celebrity jeopardy,UVA
http://codeforces.com/problemset/problem/749/A,Bachgold Problem,Codeforces
http://codeforces.com/problemset/problem/577/A,Multiplication Table,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1240,Relatives,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=484,Goldbach's Conjecture,UVA
http://www.spoj.com/problems/PON/,Prime or Not,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1080,Factovisors,UVA
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=159,Factorial,Live Archive
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1335,Twin Primes,UVA
http://codeforces.com/problemset/problem/199/A,Hexadecimal's theorem,Codeforces
http://www.spoj.com/problems/TWOSQRS/,Two squares or not two squares,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1614,Play with Floor and Ceil,UVA
http://www.spoj.com/problems/ETF/,Euler Totient Function,SPOJ
http://codeforces.com/problemset/problem/26/A,Almost Prime,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1068,Ones,UVA
http://codeforces.com/problemset/problem/630/A,Again Twenty Five!,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=347,Prime Cuts,UVA
http://codeforces.com/problemset/problem/682/A,Alyona and Numbers,Codeforces
http://www.spoj.com/problems/GCDEX/,GCD Extreme,SPOJ
http://www.spoj.com/problems/MARBLES/,Marbles,SPOJ
http://codeforces.com/problemset/problem/573/A,Bear and Poker,Codeforces
http://codeforces.com/problemset/problem/519/C,A and B and Team Training,Codeforces
http://www.spoj.com/problems/DIV/,Divisors,SPOJ
http://codeforces.com/problemset/problem/456/B,Fedya and Maths,Codeforces
http://acm.sgu.ru/problem.php?contest=0&problem=106,The Equation,SGU
http://www.spoj.com/problems/FACT0/,Integer Factorization (15 digits),SPOJ
http://codeforces.com/problemset/problem/122/A,Lucky Division,Codeforces
http://www.codechef.com/problems/POWERMUL,Fombinatorial,CodeChef
http://www.spoj.com/problems/LINES/,Game of Lines,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1176,Simply Emirp,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=400,Graph Connectivity,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1480,Almost Prime Numbers,UVA
http://codeforces.com/problemset/problem/84/A,Toy Army,Codeforces
http://codeforces.com/problemset/problem/80/A,Panoramix's Prediction,Codeforces
http://codeforces.com/problemset/problem/472/A,Design Tutorial: Learn from Math,Codeforces
http://codeforces.com/problemset/problem/114/A,Cifera,Codeforces
http://codeforces.com/problemset/problem/313/A,Ilya and Bank Account,Codeforces
http://codeforces.com/problemset/problem/118/A,String Task,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1889,The primary problem,UVA
http://www.spoj.com/problems/TIPTOP/,Tip Top Game,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=96,Factors and Factorials,UVA
http://codeforces.com/problemset/problem/742/A,Arpa’s hard exam and Mehrdad’s naive cheat,Codeforces
http://www.spoj.com/problems/PRIME1/,Prime Generator,SPOJ
http://codeforces.com/problemset/problem/576/A,Vasya and Petya's Game,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=627,Goldbach's Conjecture (II),UVA
http://www.spoj.com/problems/LCMSUM/,LCM Sum,SPOJ
http://www.spoj.com/problems/CPRIME/,Prime Number Theorem,SPOJ
http://www.spoj.com/problems/NEG2/,The Moronic Cowmpouter,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1865,Prime Words,UVA
http://www.spoj.com/problems/FACTCG2/,Medium Factorization,SPOJ
http://www.spoj.com/problems/DIVSUM/,Divisor Summation,SPOJ
http://codeforces.com/problemset/problem/230/B,T-primes,Codeforces
