link,name,judge
http://www.spoj.com/problems/DIEHARD/,DIE HARD,SPOJ
http://www.spoj.com/problems/WTK/,Why this kolaveri di,SPOJ
http://www.spoj.com/problems/GAMES/,HOW MANY GAMES,SPOJ
http://www.spoj.com/problems/FANCY/,FANCY NUMBERS,SPOJ
http://www.spoj.com/problems/DOTAA/,DOTA HEROES,SPOJ
http://www.spoj.com/problems/GEEKOUNT/,EVEN COUNT,SPOJ
http://www.spoj.com/problems/FUNNUMS/,FUN WITH LETTERS,SPOJ
http://www.spoj.com/problems/NITHY/,LUCKYNINE,SPOJ
http://www.spoj.com/problems/ALONE/,FOREVER ALONE,SPOJ
http://www.spoj.com/problems/GAMARENA/,GAMING ARENA,SPOJ
http://www.spoj.com/problems/JUMPBALL/,THE JUMPING BALL,SPOJ
http://www.spoj.com/problems/WITTY/,THE N WITTY FRIENDS,SPOJ
http://www.spoj.com/problems/CODEIT01/,TREE SHAPES,SPOJ
