link,name,judge
http://www.codechef.com/problems/FLIPCOIN,Flipping Coins,CodeChef
http://www.spoj.com/problems/RPLN/,Negative Score,SPOJ
http://www.spoj.com/problems/MULTQ3/,Multiples of 3,SPOJ
http://www.spoj.com/problems/HORRIBLE/,Horrible Queries,SPOJ
http://www.spoj.com/problems/BRCKTS/,Brackets,SPOJ
http://www.spoj.com/problems/HISTOGRA/,Largest Rectangle in a Histogram,SPOJ
http://www.spoj.com/problems/NICEDAY/,The day of the competitors,SPOJ
http://www.spoj.com/problems/FINDSR/,Find String Roots,SPOJ
http://www.spoj.com/problems/FREQUENT/,Frequent values,SPOJ
http://www.spoj.com/problems/GSS5/,Can you answer these queries V,SPOJ
http://www.spoj.com/problems/ORDERS/,Ordering the Soldiers,SPOJ
http://www.spoj.com/problems/SEGSQRSS/,Sum of Squares with Segment Tree,SPOJ
http://www.spoj.com/problems/DQUERY/,D-query,SPOJ
http://www.spoj.com/problems/GSS3/,Can you answer these queries III,SPOJ
http://codeforces.com/problemset/problem/339/D,Xenia and Bit Operations,Codeforces
http://www.spoj.com/problems/ANDROUND/,AND Rounds,SPOJ
http://www.spoj.com/problems/QTREE3/,Query on a tree again!,SPOJ
http://www.spoj.com/problems/GSS2/,Can you answer these queries II,SPOJ
http://www.spoj.com/problems/POSTERS/,Election Posters,SPOJ
http://www.spoj.com/problems/ORDERSET/,Order statistic set,SPOJ
http://www.spoj.com/problems/KQUERY/,K-query,SPOJ
http://www.spoj.com/problems/COT/,Count on a tree,SPOJ
http://www.spoj.com/problems/GSS1/,Can you answer these queries I,SPOJ
http://www.spoj.com/problems/YODANESS/,Yodaness Level,SPOJ
http://www.spoj.com/problems/INVCNT/,Inversion Count,SPOJ
http://www.spoj.com/problems/KGSS/,Maximum Sum,SPOJ
http://www.spoj.com/problems/GSS4/,Can you answer these queries IV,SPOJ
http://www.spoj.com/problems/LITE/,Light Switching,SPOJ
http://www.codechef.com/problems/CONFLIP,Coin Flip,CodeChef
http://www.spoj.com/problems/BYTESE2/,The Great Ball,SPOJ
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=4150,Interval Product,Live Archive
http://www.spoj.com/problems/PRATA/,Roti Prata,SPOJ
http://www.spoj.com/problems/MKTHNUM/,K-th Number,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2176,Frequent values,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2397,Ahoy, Pirates!,UVA
http://www.spoj.com/problems/HELPR2D2/,Help R2-D2!,SPOJ
http://www.spoj.com/problems/GSS7/,Can you answer these queries VII,SPOJ
http://www.spoj.com/problems/QTREE5/,Query on a tree V,SPOJ
http://www.spoj.com/problems/CNTPRIME/,Counting Primes ,SPOJ
