link,name,judge
http://www.spoj.com/problems/DOTAA/,DOTA HEROES,SPOJ
http://www.spoj.com/problems/NITHY/,LUCKYNINE,SPOJ
http://www.spoj.com/problems/TWOKINGS/,TRIVIADOR,SPOJ
http://www.spoj.com/problems/POWERCAR/,Car with powers,SPOJ
http://www.spoj.com/problems/FLING1/,FLING1,SPOJ
http://www.spoj.com/problems/GAMARENA/,GAMING ARENA,SPOJ
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=275,Soldiers,Live Archive
http://www.spoj.com/problems/CONQUER/,TWO KINGS,SPOJ
http://www.spoj.com/problems/BLOCK_D/,BLOCK_D SOLVER,SPOJ
http://www.spoj.com/problems/WITTYBOY/,THE WITTY BOY,SPOJ
