link,name,judge
http://www.spoj.com/problems/SUBMERGE/,Submerging Islands,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=183,Calling Circles,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2499,Dominos,UVA
http://www.spoj.com/problems/CAPCITY/,Capital City,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2870,Lighting Away,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2756,Trust groups,UVA
http://www.spoj.com/problems/ANTTT/,The Ant,SPOJ
http://www.spoj.com/problems/TFRIENDS/,True Friends,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1706,Doves and bombs,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2938,Come and Go,UVA
http://codeforces.com/problemset/problem/427/C,Checkposts,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1672,Test,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3670,Sub-dictionary,UVA
http://codeforces.com/problemset/problem/894/E,Ralph and Mushrooms,Codeforces
http://codeforces.com/problemset/problem/22/E,Scheme,Codeforces
