link,name,judge
http://www.spoj.com/problems/LCS/,Longest Common Substring,SPOJ
http://poj.org/problem?id=2774,Long Long Message,PKU
http://www.spoj.com/problems/SUBLEX/,Lexicographical Substring Search,SPOJ
http://www.spoj.com/problems/NSUBSTR/,Substrings,SPOJ
http://www.spoj.com/problems/LCS2/,Longest Common Substring II ,SPOJ
http://codeforces.com/problemset/problem/126/B,Password,Codeforces
http://www.codechef.com/problems/SUBQUERY,Substring Query,CodeChef
http://www.codechef.com/problems/TSUBSTR,Substrings on a Tree,CodeChef
http://codeforces.com/problemset/problem/432/D,Prefixes and Suffixes,Codeforces
http://codeforces.com/problemset/problem/149/E,Martian Strings,Codeforces
http://codeforces.com/problemset/problem/235/C,Cyclical Quest,Codeforces
http://codeforces.com/problemset/problem/19/C,Deletion of Repeats,Codeforces
http://codeforces.com/problemset/problem/123/D,String,Codeforces
http://codeforces.com/problemset/problem/452/E,Three strings,Codeforces
