link,name,judge
http://codeforces.com/problemset/problem/116/A,Tram,Codeforces
http://acm.sgu.ru/problem.php?contest=0&problem=100,A+B,SGU
http://codeforces.com/problemset/problem/59/A,Word,Codeforces
http://www.spoj.com/problems/FCTRL/,Factorial,SPOJ
http://acm.tju.edu.cn/toj/showp1001.html,Hello, world!,TJU
http://codeforces.com/problemset/problem/282/A,Bit++,Codeforces
http://codeforces.com/problemset/problem/4/A,Watermelon,Codeforces
http://acm.timus.ru/problem.aspx?space=1&num=1068,Sum,Timus
http://acm.tju.edu.cn/toj/showp3445.html,Soda Surpler,TJU
http://codeforces.com/problemset/problem/41/A,Translation,Codeforces
http://www.spoj.com/problems/HELLO/,Hello World!,SPOJ
http://acm.timus.ru/problem.aspx?space=1&num=1001,Reverse Root,Timus
http://www.spoj.com/problems/ABSYS/,Anti-Blot System,SPOJ
http://codeforces.com/problemset/problem/200/B,Drinks,Codeforces
http://www.spoj.com/problems/HELLOKIT/,Hello Kitty,SPOJ
http://www.spoj.com/problems/TEST/,Life, the Universe, and Everything,SPOJ
http://codeforces.com/problemset/problem/25/A,IQ test,Codeforces
http://codeforces.com/problemset/problem/339/A,Helpful Maths,Codeforces
http://codeforces.com/problemset/problem/58/A,Chat room,Codeforces
http://acm.tju.edu.cn/toj/showp2491.html,Hello Kitty,TJU
http://codeforces.com/problemset/problem/281/A,Word Capitalization,Codeforces
http://www.spoj.com/problems/KPEQU/,Equation,SPOJ
http://codeforces.com/problemset/problem/140/A,New Year Table,Codeforces
http://acm.tju.edu.cn/toj/showp3680.html,Hello Kiki,TJU
