link,name,judge
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=60,Following Orders,UVA
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=4206,The Dueling Philosophers Problem,Live Archive
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1246,Ordering Tasks,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2001,Beverages,UVA
http://www.spoj.com/problems/TOPOSORT/,Topological Sorting,SPOJ
http://www.spoj.com/problems/PFDEP/,Project File Dependencies,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=136,Rare Order,UVA
http://www.spoj.com/problems/RPLA/,Answer the boss!,SPOJ
http://www.spoj.com/problems/ALL/,All Discs Considered,SPOJ
http://codeforces.com/problemset/problem/510/C,Fox And Names,Codeforces
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=3140,Rare Order,Live Archive
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2733,Pick up sticks,UVA
http://www.spoj.com/problems/MAKETREE/,Hierarchy,SPOJ
http://www.spoj.com/problems/GCPC11C/,Indiana Jones and the lost Soccer Cup,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=813,Ordering,UVA
http://acm.timus.ru/problem.aspx?space=1&num=1280,Topological Sorting,Timus
http://br.spoj.com/problems/ORKUT/,Orkut,SPOJ Brazil
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=852,Multinomial Coefficients,UVA
http://codeforces.com/problemset/problem/770/C,Online Courses In BSU,Codeforces
http://www.spoj.com/problems/TTOP/,Tree Topology,SPOJ
http://br.spoj.com/problems/ESCALO11/,Escalonamento ótimo,SPOJ Brazil
