link,name,judge
http://www.spoj.com/problems/PHONELST/,Phone List,SPOJ
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=2683,XOR Sum,Live Archive
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2347,Phone List,UVA
http://www.spoj.com/problems/CHOCOLA/,Chocolate,SPOJ
http://www.spoj.com/problems/DISUBSTR/,Distinct Substrings,SPOJ
http://www.spoj.com/problems/DICT/,Search in the dictionary!,SPOJ
http://www.spoj.com/problems/ORDERSET/,Order statistic set,SPOJ
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=3803,Diccionário Portuñol,Live Archive
http://www.spoj.com/problems/MORSE/,Decoding Morse Sequences,SPOJ
http://acm.tju.edu.cn/toj/showp2935.html,Phone List,TJU
http://vn.spoj.com/problems/CHAIN2/,Chu&#7895;i t&#7915;,SPOJ Vietnam
http://www.spoj.com/problems/SUBXOR/,SubXor,SPOJ
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=427,Multiple Morse Matches,Live Archive
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2483,Hyper Prefix Sets,UVA
http://codeforces.com/problemset/problem/514/C,Watto and Mechanism,Codeforces
http://codeforces.com/problemset/problem/271/D,Good Substrings,Codeforces
http://www.spoj.com/problems/TAP2012D/,Designing T-Shirts,SPOJ
http://www.codechef.com/problems/PPTREE,Polo the Penguin and the Tree,CodeChef
http://codeforces.com/problemset/problem/706/D,Vasiliy's Multiset,Codeforces
http://vn.spoj.com/problems/SEC/,Tin m&#7853;t,SPOJ Vietnam
http://www.codechef.com/problems/XRQRS,Xor Queries,CodeChef
http://www.spoj.com/problems/PRHYME/,Perfect Rhyme,SPOJ
http://www.spoj.com/problems/JZPGYZ/,Sevenk Love Oimaster,SPOJ
http://codeforces.com/problemset/problem/858/D,Polycarp's phone book,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3971,Cellphone Typing,UVA
http://codeforces.com/problemset/problem/455/B,A Lot of Games,Codeforces
http://www.codechef.com/problems/MINXOR,XOR Minimization,CodeChef
http://codeforces.com/problemset/problem/923/C,Perfect Security,Codeforces
http://acm.tju.edu.cn/toj/showp3166.html,Secret Message,TJU
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1175,Frequent Substrings,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1960,Matrix Matcher,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3950,Shortest Names,UVA
http://codeforces.com/problemset/problem/842/D,Vitya and Strange Lesson,Codeforces
http://www.codechef.com/problems/SUBBXOR,Subarray Xor,CodeChef
http://www.codechef.com/problems/KGP13G,Message Coding,CodeChef
http://codeforces.com/problemset/problem/282/E,Sausage Maximization,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3554,Multiple Morse Matches,UVA
http://codeforces.com/problemset/problem/979/D,Kuro and GCD and XOR and SUM,Codeforces
p?ID=262,Tree,A2 Online Judge
http://codeforces.com/problemset/problem/37/C,Old Berland Language,Codeforces
http://codeforces.com/problemset/problem/665/E,Beautiful Subarrays,Codeforces
http://codeforces.com/problemset/problem/888/G,Xor-MST,Codeforces
