link,name,judge
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=2794,Robots on Ice,Live Archive
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=565,CD,UVA
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=1566,Bit Compressor,Live Archive
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=465,Prime Ring Problem,UVA
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=3138,Pyramids,Live Archive
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=2123,Huffman Codes,Live Archive
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1986,My T-shirt suits me,UVA
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=1496,The Cubic End,Live Archive
http://poj.org/problem?id=1739,Tony's Tour,PKU
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=3124,Pride and Prejudice and Zombies,Live Archive
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=2452,House of Cards,Live Archive
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=3122,Zombie Swallows,Live Archive
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=235,Crossword Puzzle,Live Archive
http://poj.org/problem?id=1165,The Primes,PKU
