link,name,judge
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=565,CD,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=580,Don't Get Rooked,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1285,23 out of 5,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=691,8 Queens Chess Problem,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=103,The Sultan's Successors,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1217,Hanoi Tower Troubles Again!,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=48,Tree Summing,UVA
http://www.spoj.com/problems/ALLIZWEL/,ALL IZZ WELL,SPOJ
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=5215,At most twice,Live Archive
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2026,Back to the 8-Queens,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3678,Expert Enough?,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=515,Sum It Up,UVA
http://www.spoj.com/problems/MKJUMPS/,Making Jumps,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=465,Prime Ring Problem,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=382,Lotto,UVA
http://codeforces.com/problemset/problem/476/B,Dreamoon and WiFi,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=569,Passwords,UVA
http://www.spoj.com/problems/ABCPATH/,ABC Path,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=670,The Hamming Distance Problem,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=227,The House Of Santa Claus,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=666,Division,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2136,Another n-Queen Problem,UVA
http://www.spoj.com/problems/VONNY/,Vonny and her dominos,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1871,A-Sequence,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1363,Knights in FEN,UVA
http://acm.zju.edu.cn/onlinejudge/showProblem.do?problemCode=1275,Run, Run, Runaround Numbers,ZOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=717,Monkeys in a Regular Forest,UVA
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=3320,Sum It Up,Live Archive
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=942,Garden of Eden,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=848,Winterim Backpacking Trip,UVA
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=3584,Dividing coins,Live Archive
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2258,Playing Boggle,UVA
http://www.spoj.com/problems/UCI2009D/,Digger Octaves,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=545,The Boggle Game,UVA
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=3393,Word Index,Live Archive
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=3228,The Sultan's Successors,Live Archive
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1748,Prim,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=4387,Hexagonal Puzzle,UVA
http://codeforces.com/problemset/problem/662/B,Graph Coloring,Codeforces
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=3477,The Boggle Game,Live Archive
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2300,This Means War!,UVA
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=502,Knight Moves,Live Archive
