link,name,judge
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1082,Request for Proposal,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3565,Celebrity jeopardy,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=562,Secret Research,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=208,TEX Quotes,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2502,Bender B. Rodríguez Problem,UVA
https://www.urionlinejudge.com.br/judge/en/problems/view/1037,Interval,URI
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=514,The Snail,UVA
https://www.urionlinejudge.com.br/judge/en/problems/view/1015,Distance Between Two Points,URI
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1491,Combination Lock,UVA
http://codeforces.com/problemset/problem/585/D,Lizard Era: Beginning,Codeforces
