link,name,judge
http://www.spoj.com/problems/ONEZERO/,Ones and zeros,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=865,Spreading The News,UVA
http://www.spoj.com/problems/CATM/,The Cats and the Mouse,SPOJ
http://www.spoj.com/problems/PPATH/,Prime Path,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=703,We Ship Cheap,UVA
http://www.spoj.com/problems/BITMAP/,Bitmap,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=272,A Node Too Far,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1594,Bombs! NO they are Mines!!,UVA
http://acm.timus.ru/problem.aspx?space=1&num=1837,Isenbaev's Number,Timus
http://www.spoj.com/problems/MLASERP/,Laser Phones,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=508,Risk,UVA
http://www.spoj.com/problems/TOE2/,Tic-Tac-Toe ( II ),SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1008,Playing with Wheels,UVA
http://www.spoj.com/problems/CLEANRBT/,Cleaning Robot,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=473,Dungeon Master,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=945,Bicoloring,UVA
http://www.spoj.com/problems/WATER/,Water among Cubes,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=950,All Roads Lead Where?,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=380,Knight Moves,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=319,Shipping Routes,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1900,The Party, Part I,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2327,Crazy King,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=568,The Net,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=512,Jugs,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2671,Fire!,UVA
http://www.spoj.com/problems/CHMAZE/,Changing Maze,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=988,The Monocycle,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1918,Enchanted Forest,UVA
http://codeforces.com/problemset/problem/1037/D,Valid BFS?,Codeforces
http://www.spoj.com/problems/STAR3CAS/,THE WEIRD STAIRCASE,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=257,The New Villa,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2508,9 Puzzle,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=869,Eternal Truths,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3125,Switch The Lights,UVA
http://www.spoj.com/problems/GRAVITY/,GRAVITY,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3692,Repeated Substitution with Sed,UVA
http://community.topcoder.com/stat?c=problem_statement&pm=4582,TwoKings,TopCoder
