link,name,judge
http://www.spoj.com/problems/ASSIGN/,Assignments,SPOJ
http://acm.timus.ru/problem.aspx?space=1&num=1009,K-based Numbers,Timus
http://codeforces.com/problemset/problem/535/B,Tavas and SaDDas,Codeforces
http://codeforces.com/problemset/problem/476/B,Dreamoon and WiFi,Codeforces
http://www.spoj.com/problems/HIST2/,Histogram,SPOJ
http://codeforces.com/problemset/problem/743/B,Chloe and the sequence ,Codeforces
http://codeforces.com/problemset/problem/579/A,Raising Bacteria,Codeforces
http://codeforces.com/problemset/problem/467/B,Fedor and New Game,Codeforces
http://www.spoj.com/problems/M3TILE/,LATGACH3,SPOJ
http://codeforces.com/problemset/problem/550/B,Preparing Olympiad,Codeforces
http://codeforces.com/problemset/problem/96/B,Lucky Numbers (easy),Codeforces
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=1996,Pebbles,Live Archive
http://codeforces.com/problemset/problem/484/A,Bits,Codeforces
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=3821,Candles,Live Archive
http://acm.timus.ru/problem.aspx?space=1&num=1152,False Mirrors,Timus
http://www.spoj.com/problems/LINEUP/,Lineup,SPOJ
http://codeforces.com/problemset/problem/812/B,Sagheer, the Hausmeister,Codeforces
http://codeforces.com/problemset/problem/878/A,Short Program,Codeforces
http://codeforces.com/problemset/problem/276/D,Little Girl and Maximum XOR,Codeforces
http://codeforces.com/problemset/problem/224/B,Array,Codeforces
http://www.spoj.com/problems/CODEIT02/,PICK UP DROP ESCAPE,SPOJ
http://www.codechef.com/problems/TOOLS,Fetching Cooking Tools,CodeChef
http://codeforces.com/problemset/problem/437/B,The Child and Set,Codeforces
http://codeforces.com/problemset/problem/580/D,Kefa and Dishes,Codeforces
http://codeforces.com/problemset/problem/202/A,LLPS,Codeforces
http://codeforces.com/problemset/problem/242/E,XOR on Segment,Codeforces
http://codeforces.com/problemset/problem/513/B2,Permutations,Codeforces
http://codeforces.com/problemset/problem/27/B,Tournament,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=4763,And Or,UVA
http://codeforces.com/problemset/problem/243/A,The Brand New Function,Codeforces
http://codeforces.com/problemset/problem/453/B,Little Pony and Harmony Chest,Codeforces
http://codeforces.com/problemset/problem/510/D,Fox And Jumping,Codeforces
http://codeforces.com/problemset/problem/244/B,Undoubtedly Lucky Numbers,Codeforces
http://codeforces.com/problemset/problem/581/D,Three Logos,Codeforces
http://codeforces.com/problemset/problem/401/D,Roman and Numbers,Codeforces
http://codeforces.com/problemset/problem/114/B,PFAST Inc.,Codeforces
http://codeforces.com/problemset/problem/442/A,Borya and Hanabi,Codeforces
http://codeforces.com/problemset/problem/620/E,New Year Tree,Codeforces
http://codeforces.com/problemset/problem/282/E,Sausage Maximization,Codeforces
http://codeforces.com/problemset/problem/165/E,Compatible Numbers,Codeforces
http://codeforces.com/problemset/problem/11/D,A Simple Task,Codeforces
http://codeforces.com/problemset/problem/388/B,Fox and Minimal path,Codeforces
http://codeforces.com/problemset/problem/547/C,Mike and Foam,Codeforces
http://codeforces.com/problemset/problem/895/C,Square Subsets,Codeforces
http://codeforces.com/problemset/problem/778/B,Bitwise Formula,Codeforces
http://codeforces.com/problemset/problem/379/D,New Year Letter,Codeforces
http://codeforces.com/problemset/problem/743/E,Vladik and cards,Codeforces
http://codeforces.com/problemset/problem/234/G,Practice,Codeforces
http://codeforces.com/problemset/problem/513/C,Second price auction,Codeforces
http://codeforces.com/problemset/problem/8/C,Looking for Order,Codeforces
http://codeforces.com/problemset/problem/449/D,Jzzhu and Numbers,Codeforces
http://codeforces.com/problemset/problem/333/D,Characteristics of Rectangles,Codeforces
http://codeforces.com/problemset/problem/766/E,Mahmoud and a xor trip,Codeforces
http://codeforces.com/problemset/problem/417/D,Cunning Gena,Codeforces
http://codeforces.com/problemset/problem/525/E,Anya and Cubes,Codeforces
http://codeforces.com/problemset/problem/451/E,Devu and Flowers,Codeforces
http://codeforces.com/problemset/problem/900/D,Unusual Sequences,Codeforces
