link,name,judge
http://codeforces.com/problemset/problem/80/A,Panoramix's Prediction,Codeforces
http://www.spoj.com/problems/CODEIT03/,Play with Dates,SPOJ
http://www.spoj.com/problems/SAMER08C/,Candy,SPOJ
http://codeforces.com/problemset/problem/550/A,Two Substrings,Codeforces
http://codeforces.com/problemset/problem/462/A,Appleman and Easy Task,Codeforces
http://codeforces.com/problemset/problem/476/B,Dreamoon and WiFi,Codeforces
http://codeforces.com/problemset/problem/798/A,Mike and palindrome,Codeforces
http://codeforces.com/problemset/problem/199/A,Hexadecimal's theorem,Codeforces
http://codeforces.com/problemset/problem/496/A,Minimum Difficulty,Codeforces
http://codeforces.com/problemset/problem/514/B,Han Solo and Lazer Gun,Codeforces
http://codeforces.com/problemset/problem/300/A,Array,Codeforces
http://acm.tju.edu.cn/toj/showp2821.html,Grouping Problem,TJU
http://codeforces.com/problemset/problem/764/A,Taymyr is calling you,Codeforces
http://www.spoj.com/problems/CANDY/,Candy I,SPOJ
http://codeforces.com/problemset/problem/268/A,Games,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2708,Burger Time?,UVA
http://codeforces.com/problemset/problem/546/C,Soldier and Cards,Codeforces
http://codeforces.com/problemset/problem/109/A,Lucky Sum of Digits,Codeforces
http://codeforces.com/problemset/problem/460/A,Vasya and Socks,Codeforces
http://codeforces.com/problemset/problem/122/A,Lucky Division,Codeforces
http://codeforces.com/problemset/problem/217/A,Ice Skating,Codeforces
http://codeforces.com/problemset/problem/320/A,Magic Numbers,Codeforces
http://codeforces.com/problemset/problem/580/A,Kefa and First Steps,Codeforces
http://codeforces.com/problemset/problem/558/A,Lala Land and Apple Trees,Codeforces
http://codeforces.com/problemset/problem/279/B,Books,Codeforces
http://codeforces.com/problemset/problem/841/A,Generous Kefa,Codeforces
http://codeforces.com/problemset/problem/550/B,Preparing Olympiad,Codeforces
http://codeforces.com/problemset/problem/350/A,TL,Codeforces
http://codeforces.com/problemset/problem/869/A,The Artful Expedient,Codeforces
http://codeforces.com/problemset/problem/711/A,Bus to Udayland,Codeforces
http://codeforces.com/problemset/problem/271/A,Beautiful Year,Codeforces
http://codeforces.com/problemset/problem/816/A,Karen and Morning,Codeforces
http://codeforces.com/problemset/problem/520/A,Pangram,Codeforces
http://codeforces.com/problemset/problem/554/A,Kyoya and Photobooks,Codeforces
http://codeforces.com/problemset/problem/224/A,Parallelepiped,Codeforces
http://codeforces.com/problemset/problem/327/A,Flipping Game,Codeforces
http://codeforces.com/problemset/problem/509/A,Maximum in Table,Codeforces
http://codeforces.com/problemset/problem/6/A,Triangle,Codeforces
http://codeforces.com/problemset/problem/742/A,Arpa’s hard exam and Mehrdad’s naive cheat,Codeforces
http://codeforces.com/problemset/problem/378/A,Playing with Dice,Codeforces
http://codeforces.com/problemset/problem/479/A,Expression,Codeforces
http://codeforces.com/problemset/problem/363/B,Fence,Codeforces
http://codeforces.com/problemset/problem/811/A,Vladik and Courtesy,Codeforces
http://codeforces.com/problemset/problem/550/C,Divisibility by Eight,Codeforces
http://codeforces.com/problemset/problem/214/A,System of Equations,Codeforces
http://codeforces.com/problemset/problem/189/A,Cut Ribbon,Codeforces
http://codeforces.com/problemset/problem/488/A,Giga Tower,Codeforces
http://codeforces.com/problemset/problem/548/A,Mike and Fax,Codeforces
http://codeforces.com/problemset/problem/330/A,Cakeminator,Codeforces
http://codeforces.com/problemset/problem/787/A,The Monster,Codeforces
http://codeforces.com/problemset/problem/466/C,Number of Ways,Codeforces
http://codeforces.com/problemset/problem/231/A,Team,Codeforces
http://codeforces.com/problemset/problem/155/A,I_love_\%username\%,Codeforces
http://codeforces.com/problemset/problem/894/A,QAQ,Codeforces
http://codeforces.com/problemset/problem/559/A,Gerald's Hexagon,Codeforces
http://codeforces.com/problemset/problem/507/B,Amr and Pins,Codeforces
http://codeforces.com/problemset/problem/629/A,Far Relative’s Birthday Cake,Codeforces
http://codeforces.com/problemset/problem/706/A,Beru-taxi,Codeforces
http://codeforces.com/problemset/problem/25/A,IQ test,Codeforces
http://codeforces.com/problemset/problem/535/B,Tavas and SaDDas,Codeforces
http://codeforces.com/problemset/problem/4/A,Watermelon,Codeforces
http://codeforces.com/problemset/problem/483/A,Counterexample ,Codeforces
http://codeforces.com/problemset/problem/385/A,Bear and Raspberry,Codeforces
http://codeforces.com/problemset/problem/854/A,Fraction,Codeforces
http://codeforces.com/problemset/problem/467/B,Fedor and New Game,Codeforces
http://codeforces.com/problemset/problem/546/B,Soldier and Badges,Codeforces
http://codeforces.com/problemset/problem/352/A,Jeff and Digits,Codeforces
http://codeforces.com/problemset/problem/629/B,Far Relative’s Problem,Codeforces
http://codeforces.com/problemset/problem/505/A,Mr. Kitayuta's Gift,Codeforces
http://codeforces.com/problemset/problem/611/B,New Year and Old Property,Codeforces
http://codeforces.com/problemset/problem/371/C,Hamburgers,Codeforces
http://codeforces.com/problemset/problem/66/B,Petya and Countryside,Codeforces
http://codeforces.com/problemset/problem/222/A,Shooshuns and Sequence ,Codeforces
http://codeforces.com/problemset/problem/358/A,Dima and Continuous Line,Codeforces
http://codeforces.com/problemset/problem/633/A,Ebony and Ivory,Codeforces
http://codeforces.com/problemset/problem/897/B,Chtholly's request,Codeforces
http://codeforces.com/problemset/problem/538/A,Cutting Banner,Codeforces
http://codeforces.com/problemset/problem/448/D,Multiplication Table,Codeforces
http://codeforces.com/problemset/problem/626/A,Robot Sequence,Codeforces
http://codeforces.com/problemset/problem/485/B,Valuable Resources,Codeforces
http://codeforces.com/problemset/problem/157/A,Game Outcome,Codeforces
http://codeforces.com/problemset/problem/385/B,Bear and Strings,Codeforces
http://codeforces.com/problemset/problem/289/B,Polo the Penguin and Matrix,Codeforces
http://codeforces.com/problemset/problem/754/B,Ilya and tic-tac-toe game,Codeforces
http://codeforces.com/problemset/problem/22/A,Second Order Statistics,Codeforces
http://codeforces.com/problemset/problem/631/A,Interview,Codeforces
http://codeforces.com/problemset/problem/508/A,Pasha and Pixels,Codeforces
http://codeforces.com/problemset/problem/798/B,Mike and strings,Codeforces
http://www.spoj.com/problems/GPA1/,GRADE POINT AVERAGE,SPOJ
http://codeforces.com/problemset/problem/143/A,Help Vasilisa the Wise 2,Codeforces
http://codeforces.com/problemset/problem/490/C,Hacking Cypher,Codeforces
http://codeforces.com/problemset/problem/208/D,Prizes, Prizes, more Prizes,Codeforces
http://codeforces.com/problemset/problem/259/A,Little Elephant and Chess,Codeforces
http://codeforces.com/problemset/problem/165/C,Another Problem on Strings,Codeforces
http://codeforces.com/problemset/problem/538/C,Tourist's Notes,Codeforces
http://codeforces.com/problemset/problem/431/B,Shower Line,Codeforces
