link,name,judge
http://poj.org/problem?id=1026,Cipher,PKU
http://poj.org/problem?id=1942,Paths on a Grid,PKU
http://poj.org/problem?id=1065,Wooden Sticks,PKU
http://poj.org/problem?id=1007,DNA Sorting,PKU
http://codeforces.com/problemset/problem/630/C,Lucky Numbers,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=841,Brick Wall Patterns,UVA
http://poj.org/problem?id=3252,Round Numbers,PKU
http://www.spoj.com/problems/MARBLES/,Marbles,SPOJ
http://codeforces.com/problemset/problem/617/B,Chocolate,Codeforces
http://poj.org/problem?id=1019,Number Sequence,PKU
http://codeforces.com/problemset/problem/414/B,Mashmokh and ACM,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2396,Triangle Counting,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=305,Combinations,UVA
http://codeforces.com/problemset/problem/621/B,Wet Shark and Bishops,Codeforces
http://codeforces.com/problemset/problem/476/B,Dreamoon and WiFi,Codeforces
http://codeforces.com/problemset/problem/478/B,Random Teams,Codeforces
http://www.spoj.com/problems/PERMUT1/,Permutations,SPOJ
http://codeforces.com/problemset/problem/610/A,Pasha and Stick,Codeforces
http://poj.org/problem?id=2154,Color,PKU
http://codeforces.com/problemset/problem/505/A,Mr. Kitayuta's Gift,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1630,Yet another Number Sequence,UVA
http://codeforces.com/problemset/problem/577/B,Modulo Sum,Codeforces
http://codeforces.com/problemset/problem/152/C,Pocket Book,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=932,Safe Salutations,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=882,Permutations,UVA
http://codeforces.com/problemset/problem/584/B,Kolya and Tanya ,Codeforces
http://poj.org/problem?id=1850,Code,PKU
http://codeforces.com/problemset/problem/553/A,Kyoya and Colored Balls,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1316,Choose and divide,UVA
