link,name,judge
http://www.spoj.com/problems/GSS2/,Can you answer these queries II,SPOJ
http://codeforces.com/problemset/problem/1/A,Theatre Square,Codeforces
http://www.spoj.com/problems/STPAR/,Street Parade,SPOJ
http://codeforces.com/problemset/problem/519/B,A and B and Compilation Errors,Codeforces
http://codeforces.com/problemset/problem/466/C,Number of Ways,Codeforces
http://codeforces.com/problemset/problem/767/A,Snacktower,Codeforces
http://codeforces.com/problemset/problem/427/B,Prison Transfer,Codeforces
http://codeforces.com/problemset/problem/514/B,Han Solo and Lazer Gun,Codeforces
http://codeforces.com/problemset/problem/368/B,Sereja and Suffixes,Codeforces
http://www.spoj.com/problems/AKVQLD03/,How to Handle the Fans,SPOJ
http://codeforces.com/problemset/problem/4/C,Registration System,Codeforces
http://codeforces.com/problemset/problem/501/B,Misha and Changing Handles,Codeforces
http://www.spoj.com/problems/GSS3/,Can you answer these queries III,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2493,Division of Nlogonia,UVA
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=1507,4 Values whose Sum is 0,Live Archive
http://codeforces.com/problemset/problem/339/D,Xenia and Bit Operations,Codeforces
http://codeforces.com/problemset/problem/276/C,Little Girl and Maximum Sum,Codeforces
http://www.spoj.com/problems/KGSS/,Maximum Sum,SPOJ
http://codeforces.com/problemset/problem/650/A,Watchmen,Codeforces
https://www.urionlinejudge.com.br/judge/en/problems/view/1021,Banknotes and Coins,URI
http://www.spoj.com/problems/GSS1/,Can you answer these queries I,SPOJ
p?ID=347,Simple Math,A2 Online Judge
http://acm.tju.edu.cn/toj/showp1388.html,Hardwood Species,TJU
http://codeforces.com/problemset/problem/518/C,Anya and Smartphone,Codeforces
http://codeforces.com/problemset/problem/295/A,Greg and Array,Codeforces
http://codeforces.com/problemset/problem/264/A,Escape from Stones,Codeforces
http://codeforces.com/problemset/problem/777/B,Game of Credit Cards,Codeforces
http://codeforces.com/problemset/problem/713/A,Sonya and Queries,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2077,Hoax or what,UVA
http://codeforces.com/problemset/problem/349/B,Color the Fence,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3769,Binary Search Tree,UVA
http://codeforces.com/problemset/problem/218/B,Airport,Codeforces
http://codeforces.com/problemset/problem/637/B,Chat Order,Codeforces
http://codeforces.com/problemset/problem/567/C,Geometric Progression,Codeforces
http://codeforces.com/problemset/problem/834/B,The Festive Evening,Codeforces
http://www.spoj.com/problems/ACMCEG2B/,FIGUREFUL,SPOJ
http://codeforces.com/problemset/problem/577/B,Modulo Sum,Codeforces
http://codeforces.com/problemset/problem/356/A,Knight Tournament,Codeforces
http://codeforces.com/problemset/problem/704/A,Thor,Codeforces
http://codeforces.com/problemset/problem/1051/C,Vasya and Multisets,Codeforces
http://codeforces.com/problemset/problem/158/C,Cd and pwd commands,Codeforces
http://www.spoj.com/problems/TFRIENDS/,True Friends,SPOJ
http://codeforces.com/problemset/problem/816/B,Karen and Coffee,Codeforces
http://codeforces.com/problemset/problem/522/B,Photo to Remember,Codeforces
http://codeforces.com/problemset/problem/343/B,Alternating Current,Codeforces
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=2391,Counting heaps,Live Archive
http://codeforces.com/problemset/problem/570/C,Replacement,Codeforces
http://codeforces.com/problemset/problem/380/C,Sereja and Brackets,Codeforces
http://codeforces.com/problemset/problem/612/C,Replace To Make Regular Bracket Sequence,Codeforces
http://codeforces.com/problemset/problem/220/B,Little Elephant and Array,Codeforces
http://codeforces.com/problemset/problem/340/D,Bubble Sort Graph,Codeforces
http://codeforces.com/problemset/problem/272/C,Dima and Staircase,Codeforces
http://codeforces.com/problemset/problem/681/C,Heap Operations,Codeforces
http://codeforces.com/problemset/problem/706/D,Vasiliy's Multiset,Codeforces
http://codeforces.com/problemset/problem/527/C,Glass Carving,Codeforces
https://www.urionlinejudge.com.br/judge/en/problems/view/1466,Level Order Tree Traversal,URI
http://codeforces.com/problemset/problem/572/B,Order Book,Codeforces
http://codeforces.com/problemset/problem/459/D,Pashmak and Parmida's problem,Codeforces
http://codeforces.com/problemset/problem/26/B,Regular Bracket Sequence,Codeforces
http://codeforces.com/problemset/problem/622/C,Not Equal on a Segment,Codeforces
http://codeforces.com/problemset/problem/332/B,Maximum Absurdity,Codeforces
http://codeforces.com/problemset/problem/519/D,A and B and Interesting Substrings,Codeforces
http://acm.timus.ru/problem.aspx?space=1&num=1220,Stacks,Timus
http://codeforces.com/problemset/problem/383/A,Milking cows,Codeforces
http://www.spoj.com/problems/CASHIER/,Blue Mary Needs Help Again,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3138,Almost Union-Find,UVA
http://codeforces.com/problemset/problem/86/D,Powerful array,Codeforces
http://codeforces.com/problemset/problem/573/B,Bear and Blocks,Codeforces
http://codeforces.com/problemset/problem/460/C,Present,Codeforces
http://codeforces.com/problemset/problem/5/C,Longest Regular Bracket Sequence,Codeforces
http://codeforces.com/problemset/problem/821/C,Okabe and Boxes,Codeforces
http://codeforces.com/problemset/problem/501/C,Misha and Forest,Codeforces
http://codeforces.com/problemset/problem/81/A,Plug-in,Codeforces
http://codeforces.com/problemset/problem/385/C,Bear and Prime Numbers,Codeforces
http://codeforces.com/problemset/problem/270/B,Multithreading,Codeforces
http://codeforces.com/problemset/problem/246/D,Colorful Graph,Codeforces
http://codeforces.com/problemset/problem/482/B,Interesting Array,Codeforces
http://codeforces.com/problemset/problem/547/B,Mike and Feet,Codeforces
http://codeforces.com/problemset/problem/659/E,New Reform,Codeforces
http://codeforces.com/problemset/problem/367/A,Sereja and Algorithm ,Codeforces
http://codeforces.com/problemset/problem/18/C,Stripe,Codeforces
http://codeforces.com/problemset/problem/271/D,Good Substrings,Codeforces
http://codeforces.com/problemset/problem/675/D,Tree Construction,Codeforces
http://codeforces.com/problemset/problem/52/C,Circular RMQ,Codeforces
http://codeforces.com/problemset/problem/739/B,Alyona and a tree,Codeforces
http://codeforces.com/problemset/problem/111/B,Petya and Divisors,Codeforces
http://acm.sgu.ru/problem.php?contest=0&problem=311,Ice-cream Tycoon,SGU
http://codeforces.com/problemset/problem/557/C,Arthur and Table,Codeforces
http://codeforces.com/problemset/problem/510/D,Fox And Jumping,Codeforces
http://codeforces.com/problemset/problem/91/B,Queue,Codeforces
http://codeforces.com/problemset/problem/616/D,Longest k-Good Segment,Codeforces
http://www.spoj.com/problems/SBE201P2/,SBE201 Linked List,SPOJ
http://codeforces.com/problemset/problem/605/B,Lazy Student,Codeforces
http://codeforces.com/problemset/problem/644/B,Processing Queries,Codeforces
http://codeforces.com/problemset/problem/451/C,Predict Outcome of the Game,Codeforces
http://codeforces.com/problemset/problem/159/C,String Manipulation 1.0,Codeforces
http://codeforces.com/problemset/problem/140/C,New Year Snowmen,Codeforces
http://codeforces.com/problemset/problem/900/C,Remove Extra One,Codeforces
http://codeforces.com/problemset/problem/527/D,Clique Problem,Codeforces
http://codeforces.com/problemset/problem/61/E,Enemy is weak,Codeforces
http://codeforces.com/problemset/problem/567/D,One-Dimensional Battle Ships,Codeforces
http://codeforces.com/problemset/problem/617/E,XOR and Favorite Number,Codeforces
http://codeforces.com/problemset/problem/629/D,Babaei and Birthday Cake,Codeforces
http://codeforces.com/problemset/problem/342/E,Xenia and Tree,Codeforces
http://codeforces.com/problemset/problem/364/A,Matrix,Codeforces
http://codeforces.com/problemset/problem/195/B,After Training,Codeforces
http://codeforces.com/problemset/problem/144/C,Anagram Search,Codeforces
http://codeforces.com/problemset/problem/359/D,Pair of Numbers,Codeforces
http://codeforces.com/problemset/problem/519/E,A and B and Lecture Rooms,Codeforces
http://codeforces.com/problemset/problem/383/C,Propagating tree,Codeforces
http://codeforces.com/problemset/problem/204/B,Little Elephant and Cards,Codeforces
http://codeforces.com/problemset/problem/255/C,Almost Arithmetical Progression,Codeforces
http://codeforces.com/problemset/problem/159/A,Friends or Not,Codeforces
http://codeforces.com/problemset/problem/242/C,King's Path,Codeforces
http://codeforces.com/problemset/problem/552/D,Vanya and Triangles,Codeforces
http://codeforces.com/problemset/problem/631/C,Report,Codeforces
http://codeforces.com/problemset/problem/675/C,Money Transfers,Codeforces
http://codeforces.com/problemset/problem/515/D,Drazil and Tiles,Codeforces
http://www.spoj.com/problems/ADALIST/,Ada and List,SPOJ
http://codeforces.com/problemset/problem/160/C,Find Pair,Codeforces
