link,name,judge
http://codeforces.com/problemset/problem/32/B,Borze,Codeforces
http://www.spoj.com/problems/ONP/,Transform the Expression,SPOJ
http://www.spoj.com/problems/FOOL/,Any fool can do it,SPOJ
http://www.spoj.com/problems/CMEXPR/,Complicated Expressions,SPOJ
http://codeforces.com/problemset/problem/612/C,Replace To Make Regular Bracket Sequence,Codeforces
http://www.spoj.com/problems/GS/,Going to school,SPOJ
http://codeforces.com/problemset/problem/34/C,Page Numbers,Codeforces
http://codeforces.com/problemset/problem/663/A,Rebus,Codeforces
http://www.spoj.com/problems/IPCELLS/,Cells,SPOJ
http://codeforces.com/problemset/problem/75/B,Facetook Priority Wall,Codeforces
http://www.spoj.com/problems/BOOLE/,Boolean Logic,SPOJ
http://codeforces.com/problemset/problem/778/B,Bitwise Formula,Codeforces
http://codeforces.com/problemset/problem/41/C,Email address,Codeforces
http://codeforces.com/problemset/problem/223/A,Bracket Sequence,Codeforces
http://www.spoj.com/problems/BOCOMP/,A - Comparison Expressions,SPOJ
http://codeforces.com/problemset/problem/70/B,Text Messaging,Codeforces
http://codeforces.com/problemset/problem/552/E,Vanya and Brackets,Codeforces
http://codeforces.com/problemset/problem/59/C,Title,Codeforces
http://codeforces.com/problemset/problem/200/D,Programming Language,Codeforces
http://codeforces.com/problemset/problem/51/B,bHTML Tables Analisys,Codeforces
http://codeforces.com/problemset/problem/56/C,Corporation Mail,Codeforces
http://codeforces.com/problemset/problem/195/C,Try and Catch,Codeforces
http://codeforces.com/problemset/problem/64/B,Expression,Codeforces
http://codeforces.com/problemset/problem/89/B,Widget Library,Codeforces
http://codeforces.com/problemset/problem/39/A,C*++ Calculations,Codeforces
http://codeforces.com/problemset/problem/7/E,Defining Macros,Codeforces
http://codeforces.com/problemset/problem/217/C,Formurosa,Codeforces
http://codeforces.com/problemset/problem/115/D,Unambiguous Arithmetic Expression,Codeforces
http://codeforces.com/problemset/problem/172/E,BHTML+BCSS,Codeforces
http://codeforces.com/problemset/problem/582/E,Boolean Function,Codeforces
http://codeforces.com/problemset/problem/64/F,Domain,Codeforces
http://codeforces.com/problemset/problem/188/H,Stack,Codeforces
http://codeforces.com/problemset/problem/72/D,Perse-script,Codeforces
