link,name,judge
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=2145,Greatest K-Palindrome Substring,Live Archive
http://codeforces.com/problemset/problem/687/A,NP-Hard Problem,Codeforces
http://codeforces.com/problemset/problem/500/A,New Year Transportation,Codeforces
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=4206,The Dueling Philosophers Problem,Live Archive
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3142,Easy Problem from Rujia Liu?,UVA
http://codeforces.com/problemset/problem/115/A,Party,Codeforces
http://codeforces.com/problemset/problem/330/B,Road Construction,Codeforces
http://codeforces.com/problemset/problem/520/B,Two Buttons,Codeforces
http://www.spoj.com/problems/HOTELS/,Hotels Along the Croatian Coast,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1605,Luggage,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=734,Network Connections,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=272,A Node Too Far,UVA
http://acm.tju.edu.cn/toj/showp1477.html,Binary Numbers,TJU
http://acm.tju.edu.cn/toj/showp2819.html,Travel,TJU
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=399,The Decoder,UVA
http://codeforces.com/problemset/problem/20/C,Dijkstra?,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=400,Graph Connectivity,UVA
http://codeforces.com/problemset/problem/707/B,Bakery,Codeforces
http://www.spoj.com/problems/TDBFS/,Searching the Graph,SPOJ
http://codeforces.com/problemset/problem/69/A,Young Physicist,Codeforces
http://codeforces.com/problemset/problem/217/A,Ice Skating,Codeforces
http://www.spoj.com/problems/POUR1/,Pouring water,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1836,Matrix Transpose,UVA
http://codeforces.com/problemset/problem/601/A,The Two Routes,Codeforces
http://codeforces.com/problemset/problem/639/B,Bear and Forgotten Tree 3,Codeforces
http://www.spoj.com/problems/TFRIENDS/,True Friends,SPOJ
http://codeforces.com/problemset/problem/437/C,The Child and Toy,Codeforces
http://codeforces.com/problemset/problem/574/B,Bear and Three Musketeers,Codeforces
http://codeforces.com/problemset/problem/475/B,Strongly Connected City,Codeforces
http://codeforces.com/problemset/problem/510/C,Fox And Names,Codeforces
http://codeforces.com/problemset/problem/500/B,New Year Permutation,Codeforces
http://acm.timus.ru/problem.aspx?space=1&num=1280,Topological Sorting,Timus
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=61,Numbering Paths,UVA
http://codeforces.com/problemset/problem/427/C,Checkposts,Codeforces
http://poj.org/problem?id=2337,Catenyms,PKU
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1956,05-2 Rendezvous,UVA
http://codeforces.com/problemset/problem/506/D,Mr. Kitayuta's Colorful Graph,Codeforces
http://codeforces.com/problemset/problem/522/A,Reposts,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=4027,Wedding of Sultan,UVA
http://codeforces.com/problemset/problem/615/B,Longtail Hedgehog,Codeforces
http://codeforces.com/problemset/problem/320/B,Ping-Pong (Easy Version),Codeforces
http://codeforces.com/problemset/problem/246/D,Colorful Graph,Codeforces
http://codeforces.com/problemset/problem/295/B,Greg and Graph,Codeforces
p?ID=137,Cryptography,A2 Online Judge
http://acm.timus.ru/problem.aspx?space=1&num=1156,Two Rounds,Timus
http://codeforces.com/problemset/problem/501/C,Misha and Forest,Codeforces
http://codeforces.com/problemset/problem/623/A,Graph and String,Codeforces
http://codeforces.com/problemset/problem/129/B,Students and Shoelaces,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2031,Going in Cycle!!,UVA
http://codeforces.com/problemset/problem/721/C,Journey,Codeforces
http://codeforces.com/problemset/problem/659/E,New Reform,Codeforces
http://codeforces.com/problemset/problem/402/C,Searching for Graph,Codeforces
http://community.topcoder.com/stat?c=problem_statement&pm=6820,AlmostBipartiteMatching,TopCoder
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3798,As Long as I Learn, I Live,UVA
http://codeforces.com/problemset/problem/463/D,Gargari and Permutations,Codeforces
http://codeforces.com/problemset/problem/417/C,Football,Codeforces
http://codeforces.com/problemset/problem/744/A,Hongcow Builds A Nation,Codeforces
http://codeforces.com/problemset/problem/369/C,Valera and Elections,Codeforces
http://codeforces.com/problemset/problem/103/B,Cthulhu,Codeforces
http://codeforces.com/problemset/problem/292/B,Network Topology,Codeforces
http://codeforces.com/problemset/problem/489/D,Unbearable Controversy of Being,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2768,Instant View of Big Bang,UVA
http://codeforces.com/problemset/problem/543/B,Destroying Roads,Codeforces
