link,name,judge
http://codeforces.com/problemset/problem/4/C,Registration System,Codeforces
http://codeforces.com/problemset/problem/2/A,Winner,Codeforces
http://codeforces.com/problemset/problem/525/A,Vitaliy and Pie,Codeforces
http://codeforces.com/problemset/problem/486/B,OR in Matrix,Codeforces
http://codeforces.com/problemset/problem/126/B,Password,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1853,Simple Minded Hashing,UVA
http://codeforces.com/problemset/problem/559/B,Equivalent Strings,Codeforces
http://codeforces.com/problemset/problem/574/B,Bear and Three Musketeers,Codeforces
http://www.spoj.com/problems/ACMCEG2B/,FIGUREFUL,SPOJ
http://codeforces.com/problemset/problem/514/C,Watto and Mechanism,Codeforces
http://vn.spoj.com/problems/MESSAGE1/,VOI 2013 - Trao ?&#7893;i thông tin,SPOJ Vietnam
http://codeforces.com/problemset/problem/182/D,Common Divisors,Codeforces
http://codeforces.com/problemset/problem/271/D,Good Substrings,Codeforces
http://codeforces.com/problemset/problem/479/D,Long Jumps,Codeforces
http://codeforces.com/problemset/problem/463/C,Gargari and Bishops,Codeforces
http://codeforces.com/problemset/problem/255/C,Almost Arithmetical Progression,Codeforces
http://codeforces.com/problemset/problem/242/C,King's Path,Codeforces
http://codeforces.com/problemset/problem/245/H,Queries for Number of Palindromes,Codeforces
http://codeforces.com/problemset/problem/8/A,Train and Peter,Codeforces
http://codeforces.com/problemset/problem/535/D,Tavas and Malekas,Codeforces
http://codeforces.com/problemset/problem/533/E,Correcting Mistakes,Codeforces
http://codeforces.com/problemset/problem/633/C,Spy Syndrome 2,Codeforces
http://codeforces.com/problemset/problem/633/D,Fibonacci-ish,Codeforces
http://codeforces.com/problemset/problem/611/D,New Year and Ancient Prophecy,Codeforces
http://codeforces.com/problemset/problem/7/D,Palindrome Degree,Codeforces
http://codeforces.com/problemset/problem/113/B,Petr#,Codeforces
http://codeforces.com/problemset/problem/169/B,Replacing Digits,Codeforces
http://codeforces.com/problemset/problem/82/B,Sets,Codeforces
http://codeforces.com/problemset/problem/526/D,Om Nom and Necklace,Codeforces
http://codeforces.com/problemset/problem/486/E,LIS of Sequence,Codeforces
http://codeforces.com/problemset/problem/25/E,Test,Codeforces
http://codeforces.com/problemset/problem/128/B,String,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=4282,Caesar Cipher,UVA
http://codeforces.com/problemset/problem/79/C,Beaver,Codeforces
http://codeforces.com/problemset/problem/639/C,Bear and Polynomials,Codeforces
http://codeforces.com/problemset/problem/154/C,Double Profiles,Codeforces
http://codeforces.com/problemset/problem/467/D,Fedor and Essay,Codeforces
http://codeforces.com/problemset/problem/580/E,Kefa and Watch,Codeforces
http://codeforces.com/problemset/problem/39/J,Spelling Check,Codeforces
http://codeforces.com/problemset/problem/631/D,Messenger,Codeforces
http://codeforces.com/problemset/problem/601/D,Acyclic Organic Compounds,Codeforces
http://codeforces.com/problemset/problem/190/E,Counter Attack,Codeforces
http://codeforces.com/problemset/problem/291/E,Tree-String Problem,Codeforces
http://codeforces.com/problemset/problem/778/C,Peterson Polyglot,Codeforces
http://codeforces.com/problemset/problem/607/C,Marbles,Codeforces
http://codeforces.com/problemset/problem/533/F,Encoding,Codeforces
http://codeforces.com/problemset/problem/567/E,President and Roads,Codeforces
http://www.spoj.com/problems/VEXPROF/,The angry professor,SPOJ
http://codeforces.com/problemset/problem/869/E,The Untended Antiquity,Codeforces
http://codeforces.com/problemset/problem/316/G1,Good Substrings,Codeforces
http://codeforces.com/problemset/problem/425/D,Sereja and Squares,Codeforces
http://codeforces.com/problemset/problem/19/C,Deletion of Repeats,Codeforces
http://codeforces.com/problemset/problem/444/D,DZY Loves Strings,Codeforces
http://codeforces.com/problemset/problem/54/B,Cutting Jigsaw Puzzle,Codeforces
http://codeforces.com/problemset/problem/452/F,Permutation,Codeforces
http://codeforces.com/problemset/problem/28/D,Don't fear, DravDe is kind,Codeforces
http://codeforces.com/problemset/problem/898/F,Restoring the Expression,Codeforces
http://codeforces.com/problemset/problem/30/E,Tricky and Clever Password,Codeforces
http://codeforces.com/problemset/problem/213/E,Two Permutations,Codeforces
http://codeforces.com/problemset/problem/228/C,Fractal Detector,Codeforces
http://codeforces.com/problemset/problem/119/D,String Transformation,Codeforces
http://codeforces.com/problemset/problem/319/D,Have You Ever Heard About the Word?,Codeforces
http://codeforces.com/problemset/problem/763/D,Timofey and a flat tree,Codeforces
http://codeforces.com/problemset/problem/542/D,Superhero's Job,Codeforces
http://codeforces.com/problemset/problem/196/D,The Next Good String,Codeforces
http://codeforces.com/problemset/problem/65/D,Harry Potter and the Sorting Hat,Codeforces
http://codeforces.com/problemset/problem/356/E,Xenia and String Problem,Codeforces
http://codeforces.com/problemset/problem/212/B,Polycarpus is Looking for Good Substrings,Codeforces
http://codeforces.com/problemset/problem/534/E,Berland Local Positioning System,Codeforces
http://codeforces.com/problemset/problem/524/F,And Yet Another Bracket Sequence,Codeforces
http://codeforces.com/problemset/problem/407/D,Largest Submatrix 3,Codeforces
http://codeforces.com/problemset/problem/534/F,Simplified Nonogram,Codeforces
http://codeforces.com/problemset/problem/786/D,Rap God,Codeforces
http://codeforces.com/problemset/problem/350/D,Looking for Owls,Codeforces
http://codeforces.com/problemset/problem/504/E,Misha and LCP on Tree,Codeforces
http://codeforces.com/problemset/problem/613/E,Puzzle Lover,Codeforces
