link,name,judge
http://codeforces.com/problemset/problem/496/A,Minimum Difficulty,Codeforces
http://codeforces.com/problemset/problem/450/B,Jzzhu and Sequences,Codeforces
http://codeforces.com/problemset/problem/459/B,Pashmak and Flowers,Codeforces
http://codeforces.com/problemset/problem/703/A,Mishka and Game,Codeforces
http://codeforces.com/problemset/problem/129/A,Cookies,Codeforces
http://codeforces.com/problemset/problem/381/A,Sereja and Dima,Codeforces
http://codeforces.com/problemset/problem/443/A,Anton and Letters,Codeforces
http://codeforces.com/problemset/problem/716/A,Crazy Computer,Codeforces
http://codeforces.com/problemset/problem/581/B,Luxurious Houses,Codeforces
http://codeforces.com/problemset/problem/705/A,Hulk,Codeforces
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2612,Simple Equations,UVA
http://codeforces.com/problemset/problem/545/D,Queue,Codeforces
http://codeforces.com/problemset/problem/151/A,Soft Drinking,Codeforces
http://codeforces.com/problemset/problem/742/A,Arpa’s hard exam and Mehrdad’s naive cheat,Codeforces
http://codeforces.com/problemset/problem/520/A,Pangram,Codeforces
http://codeforces.com/problemset/problem/471/A,MUH and Sticks,Codeforces
http://codeforces.com/problemset/problem/466/A,Cheap Travel,Codeforces
http://codeforces.com/problemset/problem/483/A,Counterexample ,Codeforces
http://codeforces.com/problemset/problem/4/A,Watermelon,Codeforces
http://codeforces.com/problemset/problem/676/A,Nicholas and Permutation,Codeforces
http://codeforces.com/problemset/problem/439/B,Devu, the Dumb Guy,Codeforces
http://codeforces.com/problemset/problem/849/A,Odds and Ends,Codeforces
http://codeforces.com/problemset/problem/520/B,Two Buttons,Codeforces
http://codeforces.com/problemset/problem/2/A,Winner,Codeforces
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=2965,What's Next?,Live Archive
http://codeforces.com/problemset/problem/96/A,Football,Codeforces
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=5223,Identifying tea,Live Archive
http://codeforces.com/problemset/problem/552/B,Vanya and Books,Codeforces
http://codeforces.com/problemset/problem/228/A,Is your horseshoe on the other hoof?,Codeforces
http://codeforces.com/problemset/problem/510/A,Fox And Snake,Codeforces
http://codeforces.com/problemset/problem/595/A,Vitaly and Night,Codeforces
http://codeforces.com/problemset/problem/285/C,Building Permutation,Codeforces
http://codeforces.com/problemset/problem/501/A,Contest,Codeforces
http://codeforces.com/problemset/problem/448/A,Rewards,Codeforces
http://codeforces.com/problemset/problem/118/A,String Task,Codeforces
http://codeforces.com/problemset/problem/454/A,Little Pony and Crystal Mine,Codeforces
http://codeforces.com/problemset/problem/721/A,One-dimensional Japanese Crossword,Codeforces
http://codeforces.com/problemset/problem/327/A,Flipping Game,Codeforces
http://codeforces.com/problemset/problem/275/A,Lights Out,Codeforces
http://codeforces.com/problemset/problem/148/A,Insomnia cure,Codeforces
http://codeforces.com/problemset/problem/435/A,Queue on Bus Stop,Codeforces
http://codeforces.com/problemset/problem/110/A,Nearly Lucky Number,Codeforces
http://codeforces.com/problemset/problem/745/A,Hongcow Learns the Cyclic Shift,Codeforces
http://codeforces.com/problemset/problem/118/B,Present from Lena,Codeforces
http://codeforces.com/problemset/problem/577/A,Multiplication Table,Codeforces
p?ID=1,Omar,A2 Online Judge
http://codeforces.com/problemset/problem/534/A,Exam,Codeforces
http://codeforces.com/problemset/problem/431/A,Black Square,Codeforces
http://codeforces.com/problemset/problem/743/B,Chloe and the sequence ,Codeforces
http://codeforces.com/problemset/problem/834/A,The Useless Toy,Codeforces
http://codeforces.com/problemset/problem/320/A,Magic Numbers,Codeforces
http://codeforces.com/problemset/problem/268/B,Buttons,Codeforces
http://community.topcoder.com/stat?c=problem_statement&pm=12438,FoxAndGame,TopCoder
http://codeforces.com/problemset/problem/476/A,Dreamoon and Stairs,Codeforces
http://codeforces.com/problemset/problem/557/A,Ilya and Diplomas,Codeforces
http://codeforces.com/problemset/problem/451/A,Game With Sticks,Codeforces
http://codeforces.com/problemset/problem/460/A,Vasya and Socks,Codeforces
http://codeforces.com/problemset/problem/262/A,Roma and Lucky Numbers,Codeforces
http://codeforces.com/problemset/problem/255/A,Greg's Workout,Codeforces
http://codeforces.com/problemset/problem/611/A,New Year and Days,Codeforces
http://codeforces.com/problemset/problem/158/A,Next Round,Codeforces
http://codeforces.com/problemset/problem/445/A,DZY Loves Chessboard,Codeforces
http://codeforces.com/problemset/problem/116/A,Tram,Codeforces
http://codeforces.com/problemset/problem/369/A,Valera and Plates,Codeforces
http://codeforces.com/problemset/problem/791/A,Bear and Big Brother,Codeforces
http://acm.timus.ru/problem.aspx?space=1&num=1209,1, 10, 100, 1000...,Timus
http://codeforces.com/problemset/problem/538/B,Quasi Binary,Codeforces
http://codeforces.com/problemset/problem/546/A,Soldier and Bananas,Codeforces
http://codeforces.com/problemset/problem/527/A,Playing with Paper,Codeforces
http://codeforces.com/problemset/problem/272/A,Dima and Friends,Codeforces
http://codeforces.com/problemset/problem/278/A,Circle Line,Codeforces
http://codeforces.com/problemset/problem/680/A,Bear and Five Cards,Codeforces
http://codeforces.com/problemset/problem/620/A,Professor GukiZ's Robot,Codeforces
http://codeforces.com/problemset/problem/706/A,Beru-taxi,Codeforces
http://codeforces.com/problemset/problem/735/A,Ostap and Grasshopper,Codeforces
http://codeforces.com/problemset/problem/465/A,inc ARG,Codeforces
http://codeforces.com/problemset/problem/265/A,Colorful Stones (Simplified Edition),Codeforces
http://codeforces.com/problemset/problem/139/A,Petr and Book,Codeforces
http://codeforces.com/problemset/problem/384/A,Coder,Codeforces
http://codeforces.com/problemset/problem/688/A,Opponents,Codeforces
http://codeforces.com/problemset/problem/714/B,Filya and Homework,Codeforces
http://codeforces.com/problemset/problem/352/A,Jeff and Digits,Codeforces
http://codeforces.com/problemset/problem/560/A,Currency System in Geraldion,Codeforces
http://codeforces.com/problemset/problem/514/A,Chewba?ca and Number,Codeforces
http://codeforces.com/problemset/problem/379/A,New Year Candles,Codeforces
http://codeforces.com/problemset/problem/609/A,USB Flash Drives,Codeforces
http://codeforces.com/problemset/problem/549/A,Face Detection,Codeforces
