link,name,judge
http://codeforces.com/problemset/problem/679/A,Bear and Prime 100,Codeforces
http://codeforces.com/problemset/problem/727/C,Guess the Array,Codeforces
http://codeforces.com/problemset/problem/843/B,Interactive LowerBound,Codeforces
http://codeforces.com/problemset/problem/1056/C,Pick Heroes,Codeforces
http://codeforces.com/problemset/problem/713/B,Searching Rectangles,Codeforces
http://codeforces.com/problemset/problem/811/D,Vladik and Favorite Game,Codeforces
http://codeforces.com/problemset/problem/809/B,Glad to see you!,Codeforces
http://codeforces.com/problemset/problem/1033/D,Divisors,Codeforces
http://codeforces.com/problemset/problem/862/D,Mahmoud and Ehab and the binary string,Codeforces
http://codeforces.com/problemset/problem/1039/B,Subway Pursuit,Codeforces
http://codeforces.com/problemset/problem/753/B,Interactive Bulls and Cows (Easy),Codeforces
http://codeforces.com/problemset/problem/870/D,Something with XOR Queries,Codeforces
http://codeforces.com/problemset/problem/835/E,The penguin's game,Codeforces
http://codeforces.com/problemset/problem/753/C,Interactive Bulls and Cows (Hard),Codeforces
http://codeforces.com/problemset/problem/1061/F,Lost Root,Codeforces
