link,name,judge
http://www.spoj.com/problems/CLOPPAIR/,Closest Point Pair,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1186,The Closest Pair Problem,UVA
http://www.spoj.com/problems/NICEDAY/,The day of the competitors,SPOJ
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=3137,Mummy Madness,Live Archive
http://www.spoj.com/problems/CEPC08B/,SkyScrapers,SPOJ
http://www.spoj.com/problems/RAIN1/,November Rain,SPOJ
http://www.codechef.com/problems/TRIQUERY,Triangular Queries,CodeChef
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=774,Water Falls,UVA
http://www.codechef.com/problems/CIRCLE,Minion Circle,CodeChef
http://www.spoj.com/problems/WIRELESS/,Wireless,SPOJ
http://www.spoj.com/problems/WILD/,Wild West,SPOJ
http://www.codechef.com/problems/TABISHOP,Bishops,CodeChef
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=3647,Boundary Points,UVA
