link,name,judge
http://codeforces.com/problemset/problem/224/A,Parallelepiped,Codeforces
http://codeforces.com/problemset/problem/688/B,Lovely Palindromes,Codeforces
http://codeforces.com/problemset/problem/6/A,Triangle,Codeforces
http://codeforces.com/problemset/problem/519/C,A and B and Team Training,Codeforces
http://codeforces.com/problemset/problem/650/A,Watchmen,Codeforces
http://codeforces.com/problemset/problem/353/A,Domino,Codeforces
http://codeforces.com/problemset/problem/478/A,Initial Bet,Codeforces
http://codeforces.com/problemset/problem/591/A,Wizards' Duel,Codeforces
http://codeforces.com/problemset/problem/520/B,Two Buttons,Codeforces
http://www.spoj.com/problems/PON/,Prime or Not,SPOJ
http://codeforces.com/problemset/problem/546/C,Soldier and Cards,Codeforces
http://codeforces.com/problemset/problem/492/B,Vanya and Lanterns,Codeforces
http://codeforces.com/problemset/problem/401/A,Vanya and Cards,Codeforces
http://codeforces.com/problemset/problem/552/A,Vanya and Table,Codeforces
http://codeforces.com/problemset/problem/84/A,Toy Army,Codeforces
https://www.urionlinejudge.com.br/judge/en/problems/view/1012,Area,URI
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=4416,The Large Family,Live Archive
http://codeforces.com/problemset/problem/318/A,Even Odds,Codeforces
http://codeforces.com/problemset/problem/714/A,Meeting of Old Friends,Codeforces
http://codeforces.com/problemset/problem/230/B,T-primes,Codeforces
http://codeforces.com/problemset/problem/552/B,Vanya and Books,Codeforces
http://codeforces.com/problemset/problem/472/A,Design Tutorial: Learn from Math,Codeforces
http://www.spoj.com/problems/IITKWPCN/,Playing With Balls,SPOJ
http://codeforces.com/problemset/problem/1/B,Spreadsheet,Codeforces
http://www.spoj.com/problems/FANCY/,FANCY NUMBERS,SPOJ
http://codeforces.com/problemset/problem/270/A,Fancy Fence,Codeforces
http://codeforces.com/problemset/problem/822/A,I'm bored with life,Codeforces
http://codeforces.com/problemset/problem/588/B,Duff in Love,Codeforces
http://acm.zju.edu.cn/onlinejudge/showProblem.do?problemCode=1492,Maximum Clique,ZOJ
http://codeforces.com/problemset/problem/554/A,Kyoya and Photobooks,Codeforces
https://www.urionlinejudge.com.br/judge/en/problems/view/1010,Simple Calculate,URI
https://www.urionlinejudge.com.br/judge/en/problems/view/1003,Simple Sum,URI
https://www.urionlinejudge.com.br/judge/en/problems/view/1173,Array fill I,URI
http://codeforces.com/problemset/problem/854/A,Fraction,Codeforces
https://www.urionlinejudge.com.br/judge/en/problems/view/1017,Fuel Spent,URI
