link,name,judge
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=328,Polynomial Showdown,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=439,Polly the Polynomial,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1243,Summation of Polynomials,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1046,Polynomial Coefficients,UVA
http://www.spoj.com/problems/POLEVAL/,Evaluate the polynomial,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1660,Quotient Polynomial,UVA
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=2273,Polynomial-time Reductions,Live Archive
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1527,Polynomial Remains,UVA
http://www.spoj.com/problems/POLYNOM/,Polynomial,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1267,The Polynomial Equation,UVA
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1892,Polynomial GCD,UVA
http://www.spoj.com/problems/POLTOPOL/,Polynomial f(x) to Polynomial h(x),SPOJ
https://www.urionlinejudge.com.br/judge/en/problems/view/2154,Polynomial Derivative,URI
http://acm.timus.ru/problem.aspx?space=1&num=1408,Polynomial Multiplication,Timus
http://www.spoj.com/problems/GF2/,Irreducible polynomials over GF2,SPOJ
http://www.spoj.com/problems/POLYEQ/,Polynomial Equations,SPOJ
http://www.spoj.com/problems/BTCODE_E/,Recover Polynomials,SPOJ
http://www.spoj.com/problems/KMSL4B/,Roots of polynomial,SPOJ
https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=871,Polynomial Roots,UVA
http://www.spoj.com/problems/MPOLEVAL/,Polynomial Evaluation - Angry Teacher,SPOJ
