link,name,judge
http://codeforces.com/problemset/problem/126/B,Password,Codeforces
http://codeforces.com/problemset/problem/514/C,Watto and Mechanism,Codeforces
http://codeforces.com/problemset/problem/535/D,Tavas and Malekas,Codeforces
http://codeforces.com/problemset/problem/432/D,Prefixes and Suffixes,Codeforces
http://codeforces.com/problemset/problem/471/D,MUH and Cube Walls,Codeforces
http://codeforces.com/problemset/problem/633/C,Spy Syndrome 2,Codeforces
http://codeforces.com/problemset/problem/427/D,Match & Catch,Codeforces
http://codeforces.com/problemset/problem/128/B,String,Codeforces
http://codeforces.com/problemset/problem/631/D,Messenger,Codeforces
http://codeforces.com/problemset/problem/149/E,Martian Strings,Codeforces
http://codeforces.com/problemset/problem/526/D,Om Nom and Necklace,Codeforces
http://codeforces.com/problemset/problem/235/C,Cyclical Quest,Codeforces
http://codeforces.com/problemset/problem/533/F,Encoding,Codeforces
http://codeforces.com/problemset/problem/441/D,Valera and Swaps,Codeforces
http://www.spoj.com/problems/VOTAS/,Votka and String,SPOJ
http://codeforces.com/problemset/problem/557/E,Ann and Half-Palindrome,Codeforces
http://codeforces.com/problemset/problem/316/G2,Good Substrings,Codeforces
http://codeforces.com/problemset/problem/19/C,Deletion of Repeats,Codeforces
http://codeforces.com/problemset/problem/547/E,Mike and Friends,Codeforces
http://codeforces.com/problemset/problem/86/C,Genetic engineering,Codeforces
http://codeforces.com/problemset/problem/204/E,Little Elephant and Strings,Codeforces
http://codeforces.com/problemset/problem/452/E,Three strings,Codeforces
http://codeforces.com/problemset/problem/653/F,Paper task,Codeforces
http://codeforces.com/problemset/problem/123/D,String,Codeforces
http://codeforces.com/problemset/problem/616/F,Expensive Strings,Codeforces
http://codeforces.com/problemset/problem/666/E,Forensic Examination,Codeforces
http://codeforces.com/problemset/problem/316/G3,Good Substrings,Codeforces
http://codeforces.com/problemset/problem/524/F,And Yet Another Bracket Sequence,Codeforces
http://codeforces.com/problemset/problem/319/D,Have You Ever Heard About the Word?,Codeforces
http://codeforces.com/problemset/problem/700/E,Cool Slogans,Codeforces
http://codeforces.com/problemset/problem/232/D,Fence,Codeforces
http://codeforces.com/problemset/problem/356/E,Xenia and String Problem,Codeforces
http://codeforces.com/problemset/problem/741/E,Arpa’s abnormal DNA and Mehrdad’s deep interest,Codeforces
http://codeforces.com/problemset/problem/504/E,Misha and LCP on Tree,Codeforces
http://codeforces.com/problemset/problem/594/E,Cutting the Line,Codeforces
